tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.0,0,0.0
5,0.0,0,0.0
6,0.0,0,0.0
7,0.0,0,0.0
8,0.0,0,0.0
9,0.0,0,0.0
10,0.0,0,0.0
11,0.0,0,0.0
12,0.0,0,0.0
13,0.0,0,0.0
14,0.0,0,0.0
15,0.025,0,0.0
16,0.025,0,0.0
17,0.025,0,0.0
18,0.025,0,0.0
19,0.025,0,0.0
20,0.025,0,0.0
21,0.025,0,0.0
22,0.025,0,0.0
23,0.025,0,0.0
24,0.025,0,0.0
25,0.05,0,0.0
26,0.05,0,0.0
27,0.05,0,0.0
28,0.05,0,0.0
29,0.05,0,0.0
30,0.1,0,0.0
31,0.1,0,0.0
32,0.1,0,0.0
33,0.1,0,0.0
34,0.1,0,0.0
35,0.125,0,0.0
36,0.125,0,0.0
37,0.125,0,0.0
38,0.125,0,0.0
39,0.125,0,0.0
40,0.15,0,0.0
41,0.15,0,0.0
42,0.15,0,0.0
43,0.15,0,0.0
44,0.15,0,0.0
45,0.15,0,0.0
46,0.15,0,0.0
47,0.15,0,0.0
48,0.15,0,0.0
49,0.15,0,0.0
50,0.175,0,0.0
51,0.175,0,0.0
52,0.175,0,0.0
53,0.2,0,0.0
54,0.2,0,0.0
55,0.2,0,0.0
56,0.2,0,0.0
57,0.2,0,0.0
58,0.2,0,0.0
59,0.2,0,0.0
60,0.2,0,0.0
61,0.2,0,0.0
62,0.2,0,0.0
63,0.175,0,0.0
64,0.175,0,0.0
65,0.175,0,0.0
66,0.175,0,0.0
67,0.175,0,0.0
68,0.175,0,0.0
69,0.175,0,0.0
70,0.175,0,0.0
71,0.15,0,0.0
72,0.2,0,0.0
73,0.2,0,0.0
74,0.2,0,0.0
75,0.2,0,0.0
76,0.2,0,1.0
77,0.2,0,1.0
78,0.2,0,1.0
79,0.2,0,1.0
80,0.2,0,1.0
81,0.2,0,1.0
82,0.2,0,1.0
83,0.2,0,1.0
84,0.2,0,1.0
85,0.2,0,1.0
86,0.2,0,1.0
87,0.2,0,1.0
88,0.2,0,1.0
89,0.2,0,1.0
90,0.2,0,1.0
91,0.175,0,1.0
92,0.175,0,1.0
93,0.175,0,1.0
94,0.175,0,1.0
95,0.175,0,1.0
96,0.175,0,1.0
97,0.175,0,1.0
98,0.175,0,1.0
99,0.2,0,1.0
100,0.2,0,1.0
101,0.2,0,1.0
102,0.2,0,1.0
103,0.2,0,1.0
104,0.2,0,1.0
105,0.2,0,1.0
106,0.3,0,1.0
107,0.3,0,1.0
108,0.275,0,1.0
109,0.275,0,1.0
110,0.275,0,1.0
111,0.275,0,1.0
112,0.275,0,2.0
113,0.275,0,2.0
114,0.275,0,2.0
115,0.275,0,2.0
116,0.275,0,1.0
117,0.275,0,1.0
118,0.325,0,1.0
119,0.325,0,1.0
120,0.325,0,1.0
121,0.325,0,1.0
122,0.425,0,1.0
123,0.425,0,1.0
124,0.375,0,2.0
125,0.4,0,2.0
126,0.4,0,2.0
127,0.4,0,2.0
128,0.4,0,3.0
129,0.4,0,3.0
130,0.4,0,3.0
131,0.4,0,3.0
132,0.4,0,2.0
133,0.4,0,2.0
134,0.425,0,2.0
135,0.425,0,2.0
136,0.425,0,2.0
137,0.45,0,2.0
138,0.425,0,2.0
139,0.425,0,2.0
140,0.425,0,4.0
141,0.425,0,4.0
142,0.425,0,4.0
143,0.425,0,4.0
144,0.425,0,4.0
145,0.425,0,4.0
146,0.425,0,4.0
147,0.425,0,4.0
148,0.425,0,3.0
149,0.425,0,3.0
150,0.425,0,3.0
151,0.425,0,3.0
152,0.425,0,3.0
153,0.425,0,3.0
154,0.425,0,3.0
155,0.425,0,3.0
156,0.4,0,3.0
157,0.45,0,3.0
158,0.45,0,3.0
159,0.45,0,3.0
160,0.45,0,3.0
161,0.45,0,3.0
162,0.45,0,3.0
163,0.45,0,3.0
164,0.45,1,2.0
165,0.45,1,2.0
166,0.45,1,2.0
167,0.45,1,2.0
168,0.45,1,2.0
169,0.45,1,2.0
170,0.45,1,2.0
171,0.425,2,2.0
172,0.425,1,2.0
173,0.425,1,2.0
174,0.425,1,2.0
175,0.375,1,2.0
176,0.375,1,3.0
177,0.375,1,3.0
178,0.375,1,3.0
179,0.425,1,3.0
180,0.45,0,2.0
181,0.45,0,2.0
182,0.45,0,2.0
183,0.475,0,2.0
184,0.475,0,2.0
185,0.475,0,2.0
186,0.475,0,2.0
187,0.5,0,2.0
188,0.5,0,3.0
189,0.5,0,3.0
190,0.5,0,3.0
191,0.5,0,3.0
192,0.5,0,4.0
193,0.475,0,4.0
194,0.475,0,4.0
195,0.475,0,4.0
196,0.475,0,4.0
197,0.475,0,4.0
198,0.475,0,4.0
199,0.45,0,4.0
200,0.45,1,4.0
201,0.425,1,4.0
202,0.425,1,4.0
203,0.425,1,4.0
204,0.475,1,3.0
205,0.5,1,3.0
206,0.5,1,3.0
207,0.5,1,3.0
208,0.5,0,5.0
209,0.5,0,5.0
210,0.5,0,5.0
211,0.5,0,5.0
212,0.5,1,5.0
213,0.5,1,5.0
214,0.5,1,5.0
215,0.5,1,5.0
216,0.5,1,5.0
217,0.475,1,5.0
218,0.475,1,5.0
219,0.475,1,5.0
220,0.475,4,5.0
221,0.475,4,5.0
222,0.5,4,5.0
223,0.5,4,5.0
224,0.5,4,5.0
225,0.5,4,5.0
226,0.5,4,5.0
227,0.5,4,5.0
228,0.5,4,5.0
229,0.5,4,5.0
230,0.5,4,5.0
231,0.5,4,5.0
232,0.5,4,5.0
233,0.5,4,5.0
234,0.5,4,5.0
235,0.5,4,5.0
236,0.5,4,5.0
237,0.475,4,5.0
238,0.475,4,5.0
239,0.5,4,5.0
240,0.5,4,5.0
241,0.5,4,5.0
242,0.5,4,5.0
243,0.5,4,5.0
244,0.5,4,5.0
245,0.525,4,5.0
246,0.525,4,5.0
247,0.525,4,5.0
248,0.525,3,4.0
249,0.525,3,4.0
250,0.525,3,4.0
251,0.525,3,4.0
252,0.55,3,4.0
253,0.525,3,4.0
254,0.5,3,4.0
255,0.5,3,4.0
256,0.475,5,4.0
257,0.45,5,4.0
258,0.45,5,4.0
259,0.45,5,4.0
260,0.45,4,4.0
261,0.45,4,4.0
262,0.5,4,4.0
263,0.5,4,4.0
264,0.5,2,4.0
265,0.525,2,4.0
266,0.525,2,4.0
267,0.525,2,4.0
268,0.525,2,4.0
269,0.525,2,4.0
270,0.525,2,4.0
271,0.525,2,4.0
272,0.525,2,4.0
273,0.525,2,4.0
274,0.525,2,4.0
275,0.525,2,4.0
276,0.525,2,4.0
277,0.525,2,4.0
278,0.525,2,4.0
279,0.525,2,4.0
280,0.525,2,4.0
281,0.5,2,4.0
282,0.5,2,4.0
283,0.5,2,4.0
284,0.5,4,4.0
285,0.525,4,4.0
286,0.525,4,4.0
287,0.525,4,4.0
288,0.525,3,5.0
289,0.575,3,5.0
290,0.575,3,5.0
291,0.575,3,5.0
292,0.575,2,5.0
293,0.575,2,5.0
294,0.525,2,5.0
295,0.525,2,5.0
296,0.525,5,6.0
297,0.525,5,6.0
298,0.55,5,6.0
299,0.525,5,6.0
300,0.475,6,5.0
301,0.5,6,5.0
302,0.525,6,5.0
303,0.525,6,5.0
304,0.55,3,7.0
305,0.55,3,7.0
306,0.575,3,7.0
307,0.575,3,7.0
308,0.575,3,6.0
309,0.575,3,6.0
310,0.575,3,6.0
311,0.575,3,6.0
312,0.55,3,6.0
313,0.55,3,6.0
314,0.55,3,6.0
315,0.575,3,6.0
316,0.575,3,6.0
317,0.575,3,6.0
318,0.6,3,6.0
319,0.6,3,6.0
320,0.6,3,6.0
321,0.6,3,6.0
322,0.6,3,6.0
323,0.6,3,6.0
324,0.6,3,5.0
325,0.575,3,5.0
326,0.575,3,5.0
327,0.575,3,5.0
328,0.55,3,5.0
329,0.55,3,5.0
330,0.55,3,5.0
331,0.55,3,5.0
332,0.575,3,5.0
333,0.575,3,5.0
334,0.575,3,5.0
335,0.575,3,5.0
336,0.55,3,5.0
337,0.55,3,5.0
338,0.525,3,5.0
339,0.525,3,5.0
340,0.525,3,5.0
341,0.525,3,5.0
342,0.525,3,5.0
343,0.55,3,5.0
344,0.55,3,5.0
345,0.575,3,5.0
346,0.575,3,5.0
347,0.575,3,5.0
348,0.575,2,5.0
349,0.575,2,5.0
350,0.575,2,5.0
351,0.55,2,5.0
352,0.55,2,5.0
353,0.575,2,5.0
354,0.575,2,5.0
355,0.575,2,5.0
356,0.575,3,5.0
357,0.575,3,5.0
358,0.575,3,5.0
359,0.575,3,5.0
360,0.6,4,6.0
361,0.6,4,6.0
362,0.6,4,6.0
363,0.6,4,6.0
364,0.6,5,6.0
365,0.6,5,6.0
366,0.575,5,6.0
367,0.575,5,6.0
368,0.575,5,6.0
369,0.55,5,6.0
370,0.55,5,6.0
371,0.55,5,6.0
372,0.55,5,6.0
373,0.55,5,6.0
374,0.55,5,6.0
375,0.55,5,6.0
376,0.55,5,5.0
377,0.6,5,5.0
378,0.575,5,5.0
379,0.575,5,5.0
