tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.0,0,0.0
5,0.0,0,0.0
6,0.0,0,0.0
7,0.0,0,0.0
8,0.0,0,0.0
9,0.0,0,0.0
10,0.0,0,0.0
11,0.0,0,0.0
12,0.0,0,0.0
13,0.0,0,0.0
14,0.0,0,0.0
15,0.025,0,0.0
16,0.025,0,0.0
17,0.025,0,0.0
18,0.025,0,0.0
19,0.025,0,0.0
20,0.025,2,0.0
21,0.1,2,0.0
22,0.1,2,0.0
23,0.1,2,0.0
24,0.15,0,0.0
25,0.15,0,0.0
26,0.15,0,0.0
27,0.15,0,0.0
28,0.175,0,1.0
29,0.175,0,1.0
30,0.175,0,1.0
31,0.15,0,1.0
32,0.15,0,1.0
33,0.15,0,1.0
34,0.15,0,1.0
35,0.125,0,1.0
36,0.125,0,1.0
37,0.1,0,1.0
38,0.1,0,1.0
39,0.1,0,1.0
40,0.1,0,1.0
41,0.1,0,1.0
42,0.125,0,1.0
43,0.125,0,1.0
44,0.125,0,1.0
45,0.125,0,1.0
46,0.2,0,1.0
47,0.2,0,1.0
48,0.2,0,1.0
49,0.2,0,1.0
50,0.2,0,1.0
51,0.25,0,1.0
52,0.25,0,3.0
53,0.25,0,3.0
54,0.3,1,3.0
55,0.4,0,3.0
56,0.4,0,4.0
57,0.4,0,4.0
58,0.375,0,4.0
59,0.375,0,4.0
60,0.375,0,8.0
61,0.375,0,8.0
62,0.375,0,8.0
63,0.375,0,8.0
64,0.375,1,8.0
65,0.375,1,8.0
66,0.425,1,8.0
67,0.425,1,8.0
68,0.425,1,8.0
69,0.425,1,8.0
70,0.4,1,8.0
71,0.4,1,8.0
72,0.4,1,10.0
73,0.4,1,10.0
74,0.4,1,10.0
75,0.4,1,10.0
76,0.4,1,9.0
77,0.375,1,9.0
78,0.375,1,9.0
79,0.375,1,9.0
80,0.375,1,9.0
81,0.375,1,9.0
82,0.375,1,9.0
83,0.375,1,9.0
84,0.375,1,9.0
85,0.375,1,9.0
86,0.375,1,9.0
87,0.375,1,9.0
88,0.45,1,8.0
89,0.45,1,8.0
90,0.45,1,8.0
91,0.45,1,8.0
92,0.45,1,8.0
93,0.45,1,8.0
94,0.45,1,8.0
95,0.45,1,8.0
96,0.45,3,8.0
97,0.5,3,8.0
98,0.5,3,8.0
99,0.5,3,8.0
100,0.5,1,8.0
101,0.5,1,8.0
102,0.5,1,8.0
103,0.525,1,8.0
104,0.525,1,8.0
105,0.525,1,8.0
106,0.525,1,8.0
107,0.525,1,8.0
108,0.525,1,8.0
109,0.5,1,8.0
110,0.5,1,8.0
111,0.5,1,8.0
112,0.5,1,8.0
113,0.5,1,8.0
114,0.5,1,8.0
115,0.5,1,8.0
116,0.5,1,8.0
117,0.5,1,8.0
118,0.525,1,8.0
119,0.525,1,8.0
120,0.525,1,8.0
121,0.55,1,8.0
122,0.55,1,8.0
123,0.55,1,8.0
124,0.55,1,10.0
125,0.55,1,10.0
126,0.55,1,10.0
127,0.55,1,10.0
128,0.575,1,10.0
129,0.575,1,10.0
130,0.575,1,10.0
131,0.575,1,10.0
132,0.575,1,10.0
133,0.575,1,10.0
134,0.575,1,10.0
135,0.575,1,10.0
136,0.575,1,10.0
137,0.575,1,10.0
138,0.575,1,10.0
139,0.575,1,10.0
140,0.575,1,10.0
141,0.575,1,10.0
142,0.575,1,10.0
143,0.55,1,10.0
144,0.55,1,10.0
145,0.525,1,10.0
146,0.525,1,10.0
147,0.525,1,10.0
148,0.55,4,11.0
149,0.525,4,11.0
150,0.525,4,11.0
151,0.525,4,11.0
152,0.525,5,11.0
153,0.575,5,11.0
154,0.55,5,11.0
155,0.55,5,11.0
156,0.55,6,12.0
157,0.55,6,12.0
158,0.55,6,12.0
159,0.575,6,12.0
160,0.575,4,12.0
161,0.575,4,12.0
162,0.6,4,12.0
163,0.6,4,12.0
164,0.6,4,12.0
165,0.575,4,12.0
166,0.55,4,12.0
167,0.55,4,12.0
168,0.55,4,12.0
169,0.55,4,12.0
170,0.55,4,12.0
171,0.55,4,12.0
172,0.55,4,11.0
173,0.6,4,11.0
174,0.625,4,11.0
175,0.6,4,11.0
176,0.6,2,11.0
177,0.6,2,11.0
178,0.6,2,11.0
179,0.6,2,11.0
180,0.6,3,13.0
181,0.6,3,13.0
182,0.6,3,13.0
183,0.6,3,13.0
184,0.6,3,13.0
185,0.6,3,13.0
186,0.6,3,13.0
187,0.6,3,13.0
188,0.6,3,13.0
189,0.6,3,13.0
190,0.55,3,13.0
191,0.55,3,13.0
192,0.55,5,13.0
193,0.55,5,13.0
194,0.55,5,13.0
195,0.6,5,13.0
196,0.6,4,13.0
197,0.6,4,13.0
198,0.6,4,13.0
199,0.6,4,13.0
200,0.6,5,13.0
201,0.6,5,13.0
202,0.55,5,13.0
203,0.55,5,13.0
204,0.55,5,13.0
205,0.525,5,13.0
206,0.525,5,13.0
207,0.525,5,13.0
208,0.525,5,13.0
209,0.525,5,13.0
210,0.525,5,13.0
211,0.6,5,13.0
212,0.575,3,13.0
213,0.575,3,13.0
214,0.575,3,13.0
215,0.6,3,13.0
216,0.6,3,13.0
217,0.6,3,13.0
218,0.6,3,13.0
219,0.6,3,13.0
220,0.6,3,13.0
221,0.6,4,13.0
222,0.6,4,13.0
223,0.575,4,13.0
224,0.575,3,13.0
225,0.575,3,13.0
226,0.575,3,13.0
227,0.575,3,13.0
228,0.575,5,13.0
229,0.6,5,13.0
230,0.6,5,13.0
231,0.625,5,13.0
232,0.6,3,13.0
233,0.6,3,13.0
234,0.6,3,13.0
235,0.6,3,13.0
236,0.6,3,12.0
237,0.6,3,12.0
238,0.575,3,12.0
239,0.575,3,12.0
240,0.575,3,12.0
241,0.575,3,12.0
242,0.575,3,12.0
243,0.525,3,12.0
244,0.525,3,12.0
245,0.525,3,12.0
246,0.525,3,12.0
247,0.525,3,12.0
248,0.525,3,11.0
249,0.525,3,11.0
250,0.525,3,11.0
251,0.525,3,11.0
252,0.525,3,9.0
253,0.525,3,9.0
254,0.525,3,9.0
255,0.525,3,9.0
256,0.525,2,9.0
257,0.525,2,9.0
258,0.525,2,9.0
259,0.525,2,9.0
260,0.525,3,9.0
261,0.525,3,9.0
262,0.525,3,9.0
263,0.525,3,9.0
264,0.6,3,8.0
265,0.6,4,8.0
266,0.6,4,8.0
267,0.6,4,8.0
268,0.6,3,8.0
269,0.6,3,8.0
270,0.6,3,8.0
271,0.6,3,8.0
272,0.6,4,8.0
273,0.6,4,8.0
274,0.6,4,8.0
275,0.6,4,8.0
276,0.625,4,8.0
277,0.625,4,8.0
278,0.65,3,8.0
279,0.65,3,8.0
280,0.65,3,8.0
281,0.65,3,8.0
282,0.65,3,8.0
283,0.65,3,8.0
284,0.65,3,8.0
285,0.65,3,8.0
286,0.65,3,8.0
287,0.675,3,8.0
288,0.675,2,8.0
289,0.675,3,8.0
290,0.7,2,8.0
291,0.7,2,8.0
292,0.7,2,8.0
293,0.7,2,8.0
294,0.65,2,8.0
295,0.675,2,8.0
296,0.675,2,8.0
297,0.675,2,8.0
298,0.7,2,8.0
299,0.675,2,8.0
300,0.675,2,10.0
301,0.675,2,10.0
302,0.675,2,10.0
303,0.675,2,10.0
304,0.7,2,9.0
305,0.7,2,9.0
306,0.7,2,9.0
307,0.7,2,9.0
308,0.7,2,10.0
309,0.7,2,10.0
310,0.7,2,10.0
311,0.725,2,10.0
312,0.725,2,11.0
313,0.725,2,11.0
314,0.725,2,11.0
315,0.7,2,11.0
316,0.7,2,11.0
317,0.65,2,11.0
318,0.65,2,11.0
319,0.65,2,11.0
320,0.65,5,11.0
321,0.65,5,11.0
322,0.7,5,11.0
323,0.7,5,11.0
324,0.65,3,11.0
325,0.65,3,11.0
326,0.625,3,11.0
327,0.625,3,11.0
328,0.65,3,11.0
329,0.625,3,11.0
330,0.625,3,11.0
331,0.625,3,11.0
332,0.65,3,11.0
333,0.65,3,11.0
334,0.65,3,11.0
335,0.65,3,11.0
336,0.65,3,10.0
337,0.65,3,10.0
338,0.7,3,10.0
339,0.7,3,10.0
340,0.7,3,12.0
341,0.625,4,12.0
342,0.65,4,12.0
343,0.65,4,12.0
344,0.65,5,12.0
345,0.65,5,12.0
346,0.675,5,12.0
347,0.625,5,12.0
348,0.625,4,12.0
349,0.625,4,12.0
350,0.625,4,12.0
351,0.625,4,12.0
352,0.625,4,13.0
353,0.65,4,13.0
354,0.65,4,13.0
355,0.65,4,13.0
356,0.7,3,14.0
357,0.7,3,14.0
358,0.725,3,14.0
359,0.725,3,14.0
360,0.725,3,16.0
361,0.675,3,16.0
362,0.675,3,16.0
363,0.675,3,16.0
364,0.7,6,16.0
365,0.7,6,16.0
366,0.7,6,16.0
367,0.7,6,16.0
368,0.725,6,15.0
369,0.725,6,15.0
370,0.725,6,15.0
371,0.725,6,15.0
372,0.725,6,15.0
373,0.725,6,15.0
374,0.725,6,15.0
375,0.725,6,15.0
376,0.725,6,15.0
377,0.725,6,15.0
378,0.75,6,15.0
379,0.75,6,15.0
