tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.0,0,0.0
5,0.0,0,0.0
6,0.0,0,0.0
7,0.0,0,0.0
8,0.0,0,0.0
9,0.0,0,0.0
10,0.0,0,0.0
11,0.0,0,0.0
12,0.0,0,0.0
13,0.0,0,0.0
14,0.0,0,0.0
15,0.025,0,0.0
16,0.025,0,0.0
17,0.025,0,0.0
18,0.025,0,0.0
19,0.025,0,0.0
20,0.025,2,0.0
21,0.1,2,0.0
22,0.1,2,0.0
23,0.1,2,0.0
24,0.15,0,0.0
25,0.15,0,0.0
26,0.15,0,0.0
27,0.15,1,0.0
28,0.175,0,1.0
29,0.175,0,1.0
30,0.175,0,1.0
31,0.15,0,1.0
32,0.15,0,1.0
33,0.15,0,1.0
34,0.15,0,1.0
35,0.125,0,1.0
36,0.125,0,1.0
37,0.1,0,1.0
38,0.1,0,1.0
39,0.1,0,1.0
40,0.1,0,1.0
41,0.1,0,1.0
42,0.1,0,1.0
43,0.125,0,1.0
44,0.125,0,2.0
45,0.125,0,2.0
46,0.2,0,2.0
47,0.2,0,2.0
48,0.2,0,2.0
49,0.2,0,2.0
50,0.2,0,2.0
51,0.25,0,2.0
52,0.25,0,3.0
53,0.25,0,3.0
54,0.375,0,3.0
55,0.375,0,3.0
56,0.375,0,4.0
57,0.35,0,4.0
58,0.35,0,4.0
59,0.35,0,4.0
60,0.35,0,6.0
61,0.35,0,6.0
62,0.35,0,6.0
63,0.35,0,6.0
64,0.35,1,5.0
65,0.35,1,5.0
66,0.4,1,5.0
67,0.4,1,5.0
68,0.4,1,5.0
69,0.375,1,5.0
70,0.375,1,5.0
71,0.375,1,5.0
72,0.375,1,7.0
73,0.375,1,7.0
74,0.375,1,7.0
75,0.375,1,7.0
76,0.375,1,6.0
77,0.35,1,6.0
78,0.35,1,6.0
79,0.35,1,6.0
80,0.35,1,6.0
81,0.35,1,6.0
82,0.35,1,6.0
83,0.35,1,6.0
84,0.35,1,6.0
85,0.35,1,6.0
86,0.35,1,6.0
87,0.35,1,6.0
88,0.425,1,5.0
89,0.425,1,5.0
90,0.425,1,5.0
91,0.425,1,5.0
92,0.425,1,5.0
93,0.425,1,5.0
94,0.425,1,5.0
95,0.425,1,5.0
96,0.425,3,5.0
97,0.475,3,5.0
98,0.475,3,5.0
99,0.475,3,5.0
100,0.475,1,5.0
101,0.475,1,5.0
102,0.475,1,5.0
103,0.5,1,5.0
104,0.5,1,5.0
105,0.5,1,5.0
106,0.5,1,5.0
107,0.5,1,5.0
108,0.5,1,5.0
109,0.475,1,5.0
110,0.475,1,5.0
111,0.475,1,5.0
112,0.475,1,5.0
113,0.475,1,5.0
114,0.475,1,5.0
115,0.475,1,5.0
116,0.475,1,5.0
117,0.475,1,5.0
118,0.5,1,5.0
119,0.5,1,5.0
120,0.5,1,5.0
121,0.525,1,5.0
122,0.525,1,5.0
123,0.525,1,5.0
124,0.525,1,7.0
125,0.525,1,7.0
126,0.525,1,7.0
127,0.525,1,7.0
128,0.55,1,7.0
129,0.55,1,7.0
130,0.55,1,7.0
131,0.55,1,7.0
132,0.55,1,7.0
133,0.55,1,7.0
134,0.55,1,7.0
135,0.55,1,7.0
136,0.55,1,7.0
137,0.55,1,7.0
138,0.55,1,7.0
139,0.55,1,7.0
140,0.55,1,7.0
141,0.55,1,7.0
142,0.55,1,7.0
143,0.55,1,7.0
144,0.55,1,7.0
145,0.575,1,7.0
146,0.575,1,7.0
147,0.575,1,7.0
148,0.575,3,9.0
149,0.625,3,9.0
150,0.625,3,9.0
151,0.625,3,9.0
152,0.625,1,10.0
153,0.625,1,10.0
154,0.65,1,10.0
155,0.65,1,10.0
156,0.65,2,10.0
157,0.625,2,10.0
158,0.625,2,10.0
159,0.6,2,10.0
160,0.6,2,11.0
161,0.575,2,11.0
162,0.6,2,11.0
163,0.6,2,11.0
164,0.6,2,11.0
165,0.575,2,11.0
166,0.575,2,11.0
167,0.575,2,11.0
168,0.575,2,10.0
169,0.575,2,10.0
170,0.6,2,10.0
171,0.6,2,10.0
172,0.6,1,10.0
173,0.6,1,10.0
174,0.6,1,10.0
175,0.575,1,10.0
176,0.575,2,11.0
177,0.575,2,11.0
178,0.575,2,11.0
179,0.575,2,11.0
180,0.575,2,12.0
181,0.575,2,12.0
182,0.575,2,12.0
183,0.575,2,12.0
184,0.575,2,12.0
185,0.575,2,12.0
186,0.575,2,12.0
187,0.575,2,12.0
188,0.575,2,11.0
189,0.575,2,11.0
190,0.6,2,11.0
191,0.6,2,11.0
192,0.6,2,11.0
193,0.6,2,11.0
194,0.6,2,11.0
195,0.6,2,11.0
196,0.6,3,12.0
197,0.6,4,12.0
198,0.625,3,12.0
199,0.625,3,12.0
200,0.625,3,13.0
201,0.575,3,13.0
202,0.525,3,13.0
203,0.525,3,13.0
204,0.5,3,13.0
205,0.5,3,13.0
206,0.5,3,13.0
207,0.5,3,13.0
208,0.5,3,11.0
209,0.55,3,11.0
210,0.575,3,11.0
211,0.575,3,11.0
212,0.575,1,10.0
213,0.575,1,10.0
214,0.575,1,10.0
215,0.575,1,10.0
216,0.575,2,10.0
217,0.575,2,10.0
218,0.575,2,10.0
219,0.575,2,10.0
220,0.575,2,10.0
221,0.575,2,10.0
222,0.575,2,10.0
223,0.55,2,10.0
224,0.55,2,10.0
225,0.55,2,10.0
226,0.55,2,10.0
227,0.55,2,10.0
228,0.55,4,10.0
229,0.55,4,10.0
230,0.55,4,10.0
231,0.55,4,10.0
232,0.55,4,9.0
233,0.55,4,9.0
234,0.55,4,9.0
235,0.55,4,9.0
236,0.525,4,9.0
237,0.525,4,9.0
238,0.525,4,9.0
239,0.525,4,9.0
240,0.525,4,9.0
241,0.525,4,9.0
242,0.525,4,9.0
243,0.475,4,9.0
244,0.475,4,8.0
245,0.475,4,8.0
246,0.475,4,8.0
247,0.475,4,8.0
248,0.475,4,8.0
249,0.475,4,8.0
250,0.475,4,8.0
251,0.5,4,8.0
252,0.5,3,7.0
253,0.5,3,7.0
254,0.5,3,7.0
255,0.5,3,7.0
256,0.475,3,7.0
257,0.475,3,7.0
258,0.475,3,7.0
259,0.525,3,7.0
260,0.525,3,7.0
261,0.525,3,7.0
262,0.525,3,7.0
263,0.525,3,7.0
264,0.5,5,7.0
265,0.475,5,7.0
266,0.475,5,7.0
267,0.475,5,7.0
268,0.45,5,7.0
269,0.525,5,7.0
270,0.525,5,7.0
271,0.525,5,7.0
272,0.525,4,6.0
273,0.525,4,6.0
274,0.525,4,6.0
275,0.525,4,6.0
276,0.55,4,6.0
277,0.55,4,6.0
278,0.5,4,6.0
279,0.5,4,6.0
280,0.5,4,6.0
281,0.5,4,6.0
282,0.5,4,6.0
283,0.5,4,6.0
284,0.5,4,6.0
285,0.5,4,6.0
286,0.5,4,6.0
287,0.5,4,6.0
288,0.5,4,5.0
289,0.525,4,5.0
290,0.525,4,5.0
291,0.525,4,5.0
292,0.525,4,5.0
293,0.525,4,5.0
294,0.475,4,5.0
295,0.475,5,5.0
296,0.475,5,5.0
297,0.475,5,5.0
298,0.5,5,5.0
299,0.5,5,5.0
300,0.5,5,7.0
301,0.5,5,7.0
302,0.55,5,7.0
303,0.55,5,7.0
304,0.575,4,7.0
305,0.575,4,7.0
306,0.575,4,7.0
307,0.575,4,7.0
308,0.575,4,8.0
309,0.575,4,8.0
310,0.575,4,8.0
311,0.6,3,8.0
312,0.6,5,8.0
313,0.6,5,8.0
314,0.6,5,8.0
315,0.6,5,8.0
316,0.6,4,8.0
317,0.525,4,8.0
318,0.525,4,8.0
319,0.525,4,8.0
320,0.525,7,8.0
321,0.55,7,8.0
322,0.575,7,8.0
323,0.575,7,8.0
324,0.575,5,9.0
325,0.575,5,9.0
326,0.55,5,9.0
327,0.55,5,9.0
328,0.55,6,8.0
329,0.525,5,8.0
330,0.525,5,8.0
331,0.525,5,8.0
332,0.5,7,8.0
333,0.475,7,8.0
334,0.475,7,8.0
335,0.475,7,8.0
336,0.525,5,8.0
337,0.525,5,8.0
338,0.525,5,8.0
339,0.525,5,8.0
340,0.525,6,8.0
341,0.5,6,8.0
342,0.5,6,8.0
343,0.5,6,8.0
344,0.5,9,8.0
345,0.5,10,8.0
346,0.525,10,8.0
347,0.525,10,8.0
348,0.525,8,8.0
349,0.525,8,8.0
350,0.525,8,8.0
351,0.525,8,8.0
352,0.525,8,10.0
353,0.525,8,10.0
354,0.525,8,10.0
355,0.525,8,10.0
356,0.475,9,10.0
357,0.475,9,10.0
358,0.5,9,10.0
359,0.5,9,10.0
360,0.5,9,10.0
361,0.525,9,10.0
362,0.525,9,10.0
363,0.525,9,10.0
364,0.525,11,9.0
365,0.55,11,9.0
366,0.55,11,9.0
367,0.55,11,9.0
368,0.55,11,10.0
369,0.55,11,10.0
370,0.55,11,10.0
371,0.55,11,10.0
372,0.525,11,10.0
373,0.525,11,10.0
374,0.525,11,10.0
375,0.525,11,10.0
376,0.525,11,10.0
377,0.5,11,10.0
378,0.5,11,10.0
379,0.5,11,10.0
