tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.0,0,0.0
5,0.0,0,0.0
6,0.0,0,0.0
7,0.0,0,0.0
8,0.0,0,0.0
9,0.0,0,0.0
10,0.0,0,0.0
11,0.0,0,0.0
12,0.0,0,0.0
13,0.025,0,0.0
14,0.05,0,0.0
15,0.05,0,0.0
16,0.05,0,0.0
17,0.05,0,0.0
18,0.05,0,0.0
19,0.05,0,0.0
20,0.075,0,0.0
21,0.075,0,0.0
22,0.1,0,0.0
23,0.1,0,0.0
24,0.1,0,0.0
25,0.1,0,0.0
26,0.1,0,0.0
27,0.1,0,0.0
28,0.1,0,0.0
29,0.1,0,0.0
30,0.1,0,0.0
31,0.075,0,0.0
32,0.125,0,0.0
33,0.125,0,0.0
34,0.125,0,0.0
35,0.125,0,0.0
36,0.125,0,0.0
37,0.225,0,0.0
38,0.225,0,0.0
39,0.225,0,0.0
40,0.275,0,0.0
41,0.275,0,0.0
42,0.275,0,0.0
43,0.275,0,0.0
44,0.3,0,0.0
45,0.3,0,0.0
46,0.3,0,0.0
47,0.3,0,0.0
48,0.3,1,0.0
49,0.325,1,0.0
50,0.325,1,0.0
51,0.3,1,0.0
52,0.3,0,0.0
53,0.3,0,0.0
54,0.3,0,0.0
55,0.275,0,0.0
56,0.275,0,0.0
57,0.275,0,0.0
58,0.275,0,0.0
59,0.275,0,0.0
60,0.275,0,0.0
61,0.3,0,0.0
62,0.3,0,0.0
63,0.3,0,0.0
64,0.3,0,0.0
65,0.3,0,0.0
66,0.3,0,0.0
67,0.3,0,0.0
68,0.35,0,0.0
69,0.325,0,0.0
70,0.325,0,0.0
71,0.325,0,0.0
72,0.325,0,1.0
73,0.325,0,1.0
74,0.325,0,1.0
75,0.325,0,1.0
76,0.325,0,1.0
77,0.325,0,1.0
78,0.325,0,1.0
79,0.325,0,1.0
80,0.325,0,1.0
81,0.3,0,1.0
82,0.3,0,1.0
83,0.3,0,1.0
84,0.3,3,1.0
85,0.35,4,1.0
86,0.35,4,1.0
87,0.35,4,1.0
88,0.35,2,1.0
89,0.35,2,1.0
90,0.35,2,1.0
91,0.35,2,1.0
92,0.35,2,3.0
93,0.375,2,3.0
94,0.35,2,3.0
95,0.35,2,3.0
96,0.35,2,3.0
97,0.35,2,3.0
98,0.375,2,3.0
99,0.375,2,3.0
100,0.375,2,3.0
101,0.375,1,3.0
102,0.375,1,3.0
103,0.375,1,3.0
104,0.375,4,3.0
105,0.4,4,3.0
106,0.4,4,3.0
107,0.375,4,3.0
108,0.375,3,2.0
109,0.375,4,2.0
110,0.375,4,2.0
111,0.375,4,2.0
112,0.375,5,3.0
113,0.375,5,3.0
114,0.375,5,3.0
115,0.375,5,3.0
116,0.4,6,3.0
117,0.4,6,3.0
118,0.4,6,3.0
119,0.4,6,3.0
120,0.4,6,4.0
121,0.375,6,4.0
122,0.375,6,4.0
123,0.375,6,4.0
124,0.375,6,4.0
125,0.35,6,4.0
126,0.35,6,4.0
127,0.35,6,4.0
128,0.375,7,4.0
129,0.375,7,4.0
130,0.375,7,4.0
131,0.375,7,4.0
132,0.4,6,3.0
133,0.4,6,3.0
134,0.4,6,3.0
135,0.4,7,3.0
136,0.4,8,3.0
137,0.4,8,3.0
138,0.4,8,3.0
139,0.4,8,3.0
140,0.4,8,5.0
141,0.4,8,5.0
142,0.4,8,5.0
143,0.4,8,5.0
144,0.4,8,5.0
145,0.375,8,5.0
146,0.375,8,5.0
147,0.375,8,5.0
148,0.375,8,5.0
149,0.375,8,5.0
150,0.375,8,5.0
151,0.375,8,5.0
152,0.375,8,5.0
153,0.375,8,5.0
154,0.4,8,5.0
155,0.3,8,5.0
156,0.3,7,5.0
157,0.3,7,5.0
158,0.3,7,5.0
159,0.3,7,5.0
160,0.3,7,5.0
161,0.3,7,5.0
162,0.275,7,5.0
163,0.275,9,5.0
164,0.375,4,2.0
165,0.375,4,2.0
166,0.375,4,2.0
167,0.375,4,2.0
168,0.375,4,4.0
169,0.375,4,4.0
170,0.4,4,4.0
171,0.425,3,4.0
172,0.425,3,5.0
173,0.425,3,5.0
174,0.425,3,5.0
175,0.425,3,5.0
176,0.425,3,5.0
177,0.425,3,5.0
178,0.45,2,5.0
179,0.45,2,5.0
180,0.45,2,5.0
181,0.45,2,5.0
182,0.425,2,5.0
183,0.425,2,5.0
184,0.425,2,5.0
185,0.425,2,5.0
186,0.45,2,5.0
187,0.45,2,5.0
188,0.45,2,5.0
189,0.45,2,5.0
190,0.4,2,5.0
191,0.4,2,5.0
192,0.4,2,4.0
193,0.4,2,4.0
194,0.4,2,4.0
195,0.4,2,4.0
196,0.35,2,4.0
197,0.35,2,4.0
198,0.375,2,4.0
199,0.375,2,4.0
200,0.375,1,4.0
201,0.375,1,4.0
202,0.375,1,4.0
203,0.375,1,4.0
204,0.375,1,2.0
205,0.375,1,2.0
206,0.375,1,2.0
207,0.375,1,2.0
208,0.375,1,2.0
209,0.375,1,2.0
210,0.375,1,2.0
211,0.375,1,2.0
212,0.325,1,2.0
213,0.325,1,2.0
214,0.325,1,2.0
215,0.325,1,2.0
216,0.325,1,2.0
217,0.325,1,2.0
218,0.325,1,2.0
219,0.325,1,2.0
220,0.375,0,3.0
221,0.375,0,3.0
222,0.375,0,3.0
223,0.375,0,3.0
224,0.375,0,3.0
225,0.375,0,3.0
226,0.375,0,3.0
227,0.375,0,3.0
228,0.375,0,3.0
229,0.375,0,3.0
230,0.375,0,3.0
231,0.375,0,3.0
232,0.35,0,3.0
233,0.35,0,3.0
234,0.35,0,3.0
235,0.35,0,3.0
236,0.35,0,3.0
237,0.35,0,3.0
238,0.35,0,3.0
239,0.35,0,3.0
240,0.425,0,3.0
241,0.425,0,3.0
242,0.425,0,3.0
243,0.425,0,3.0
244,0.425,0,3.0
245,0.425,0,3.0
246,0.425,0,3.0
247,0.475,0,3.0
248,0.45,0,3.0
249,0.35,0,3.0
250,0.3,0,3.0
251,0.3,0,3.0
252,0.325,1,3.0
253,0.325,1,3.0
254,0.425,2,3.0
255,0.425,2,3.0
256,0.425,1,3.0
257,0.425,1,3.0
258,0.425,1,3.0
259,0.425,1,3.0
260,0.425,1,3.0
261,0.425,1,3.0
262,0.425,1,3.0
263,0.425,1,3.0
264,0.425,1,3.0
265,0.425,1,3.0
266,0.425,1,3.0
267,0.425,1,3.0
268,0.425,0,3.0
269,0.425,0,3.0
270,0.425,0,3.0
271,0.425,0,3.0
272,0.45,0,3.0
273,0.475,0,3.0
274,0.475,0,3.0
275,0.475,0,3.0
276,0.475,0,1.0
277,0.475,0,1.0
278,0.475,0,1.0
279,0.475,0,1.0
280,0.475,0,1.0
281,0.475,0,1.0
282,0.475,0,1.0
283,0.45,0,1.0
284,0.45,0,1.0
285,0.45,0,1.0
286,0.45,0,1.0
287,0.45,0,1.0
288,0.45,0,1.0
289,0.45,0,1.0
290,0.425,0,1.0
291,0.425,0,1.0
292,0.425,0,1.0
293,0.425,0,1.0
294,0.425,0,1.0
295,0.425,0,1.0
296,0.425,0,1.0
297,0.425,0,1.0
298,0.425,0,1.0
299,0.425,0,1.0
300,0.425,0,1.0
301,0.425,1,1.0
302,0.425,1,1.0
303,0.425,1,1.0
304,0.425,1,1.0
305,0.425,1,1.0
306,0.425,1,1.0
307,0.425,1,1.0
308,0.425,1,3.0
309,0.425,1,3.0
310,0.4,1,3.0
311,0.4,1,3.0
312,0.4,1,3.0
313,0.4,1,3.0
314,0.4,1,3.0
315,0.4,1,3.0
316,0.4,2,3.0
317,0.4,2,3.0
318,0.4,2,3.0
319,0.4,2,3.0
320,0.4,2,3.0
321,0.4,2,3.0
322,0.4,2,3.0
323,0.4,2,3.0
324,0.425,2,3.0
325,0.425,2,3.0
326,0.425,2,3.0
327,0.425,2,3.0
328,0.5,1,3.0
329,0.5,1,3.0
330,0.475,1,3.0
331,0.475,1,3.0
332,0.5,1,5.0
333,0.5,1,5.0
334,0.5,1,5.0
335,0.5,1,5.0
336,0.5,1,5.0
337,0.5,1,5.0
338,0.5,1,5.0
339,0.5,1,5.0
340,0.5,1,5.0
341,0.5,1,5.0
342,0.5,1,5.0
343,0.475,1,5.0
344,0.475,2,5.0
345,0.475,2,5.0
346,0.475,2,5.0
347,0.5,2,5.0
348,0.5,2,5.0
349,0.5,2,5.0
350,0.5,2,5.0
351,0.5,2,5.0
352,0.5,2,5.0
353,0.5,2,5.0
354,0.5,2,5.0
355,0.5,2,5.0
356,0.5,2,5.0
357,0.5,2,5.0
358,0.5,2,5.0
359,0.5,2,5.0
360,0.5,2,5.0
361,0.5,2,5.0
362,0.475,2,5.0
363,0.475,2,5.0
364,0.475,2,5.0
365,0.475,2,5.0
366,0.5,1,5.0
367,0.5,1,5.0
368,0.525,1,5.0
369,0.525,1,5.0
370,0.525,1,5.0
371,0.525,1,5.0
372,0.525,2,5.0
373,0.525,2,5.0
374,0.525,2,5.0
375,0.525,2,5.0
376,0.525,2,5.0
377,0.55,2,5.0
378,0.55,2,5.0
379,0.5,2,5.0
