tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.0,0,0.0
5,0.0,0,0.0
6,0.0,0,0.0
7,0.0,0,0.0
8,0.0,0,0.0
9,0.0,0,0.0
10,0.0,0,0.0
11,0.0,0,0.0
12,0.0,1,0.0
13,0.05,1,0.0
14,0.05,1,0.0
15,0.075,1,0.0
16,0.075,0,0.0
17,0.075,1,0.0
18,0.1,0,0.0
19,0.1,0,0.0
20,0.1,0,1.0
21,0.1,0,1.0
22,0.075,0,1.0
23,0.075,0,1.0
24,0.075,0,1.0
25,0.075,0,1.0
26,0.125,0,1.0
27,0.125,0,1.0
28,0.125,0,1.0
29,0.125,0,1.0
30,0.075,0,1.0
31,0.075,0,1.0
32,0.075,2,1.0
33,0.125,2,1.0
34,0.125,2,1.0
35,0.125,2,1.0
36,0.125,0,2.0
37,0.125,0,2.0
38,0.125,0,2.0
39,0.125,0,2.0
40,0.1,0,1.0
41,0.1,0,1.0
42,0.1,0,1.0
43,0.1,0,1.0
44,0.1,0,1.0
45,0.1,0,1.0
46,0.1,0,1.0
47,0.1,0,1.0
48,0.1,0,1.0
49,0.1,0,1.0
50,0.1,0,1.0
51,0.1,0,1.0
52,0.1,1,1.0
53,0.125,0,1.0
54,0.125,0,1.0
55,0.125,0,1.0
56,0.125,0,1.0
57,0.125,0,1.0
58,0.125,0,1.0
59,0.125,0,1.0
60,0.15,0,1.0
61,0.15,0,1.0
62,0.125,0,1.0
63,0.175,0,1.0
64,0.175,0,1.0
65,0.15,0,1.0
66,0.15,0,1.0
67,0.15,0,1.0
68,0.15,0,2.0
69,0.15,0,2.0
70,0.15,1,2.0
71,0.2,0,2.0
72,0.2,0,2.0
73,0.3,0,2.0
74,0.3,0,2.0
75,0.3,0,2.0
76,0.325,0,2.0
77,0.325,0,2.0
78,0.325,0,2.0
79,0.325,0,2.0
80,0.325,0,5.0
81,0.325,0,5.0
82,0.325,0,5.0
83,0.275,0,5.0
84,0.275,0,5.0
85,0.275,0,5.0
86,0.225,0,5.0
87,0.275,0,5.0
88,0.275,0,5.0
89,0.275,0,5.0
90,0.35,0,5.0
91,0.35,0,5.0
92,0.35,0,5.0
93,0.35,0,5.0
94,0.35,0,5.0
95,0.35,0,5.0
96,0.35,0,5.0
97,0.35,0,5.0
98,0.35,0,5.0
99,0.325,0,5.0
100,0.325,2,5.0
101,0.325,2,5.0
102,0.325,2,5.0
103,0.325,2,5.0
104,0.375,1,5.0
105,0.4,1,5.0
106,0.4,1,5.0
107,0.4,1,5.0
108,0.4,1,5.0
109,0.4,1,5.0
110,0.325,1,5.0
111,0.325,1,5.0
112,0.325,1,5.0
113,0.325,1,5.0
114,0.325,1,5.0
115,0.325,1,5.0
116,0.3,1,5.0
117,0.3,1,5.0
118,0.3,1,5.0
119,0.3,1,5.0
120,0.3,1,3.0
121,0.3,1,3.0
122,0.3,1,3.0
123,0.3,1,3.0
124,0.275,3,2.0
125,0.275,3,2.0
126,0.275,3,2.0
127,0.275,3,2.0
128,0.3,2,2.0
129,0.3,2,2.0
130,0.3,2,2.0
131,0.325,2,2.0
132,0.275,3,4.0
133,0.275,3,4.0
134,0.325,3,4.0
135,0.3,3,4.0
136,0.3,3,4.0
137,0.325,2,4.0
138,0.325,2,4.0
139,0.325,2,4.0
140,0.325,4,4.0
141,0.3,4,4.0
142,0.3,4,4.0
143,0.275,4,4.0
144,0.275,7,4.0
145,0.3,7,4.0
146,0.3,7,4.0
147,0.3,7,4.0
148,0.25,6,4.0
149,0.25,6,4.0
150,0.25,6,4.0
151,0.25,6,4.0
152,0.25,6,4.0
153,0.25,6,4.0
154,0.275,6,4.0
155,0.275,6,4.0
156,0.325,5,2.0
157,0.325,5,2.0
158,0.325,5,2.0
159,0.325,5,2.0
160,0.325,5,4.0
161,0.325,5,4.0
162,0.275,5,4.0
163,0.275,5,4.0
164,0.275,5,4.0
165,0.275,5,4.0
166,0.275,5,4.0
167,0.275,5,4.0
168,0.275,5,4.0
169,0.275,5,4.0
170,0.275,5,4.0
171,0.325,5,4.0
172,0.325,3,4.0
173,0.325,3,4.0
174,0.325,3,4.0
175,0.325,3,4.0
176,0.325,3,4.0
177,0.325,3,4.0
178,0.375,3,4.0
179,0.35,3,4.0
180,0.4,3,4.0
181,0.4,3,4.0
182,0.4,3,4.0
183,0.375,3,4.0
184,0.375,3,5.0
185,0.375,3,5.0
186,0.4,3,5.0
187,0.425,3,5.0
188,0.425,2,5.0
189,0.425,2,5.0
190,0.45,2,5.0
191,0.475,2,5.0
192,0.475,1,6.0
193,0.475,1,6.0
194,0.475,1,6.0
195,0.475,1,6.0
196,0.55,1,7.0
197,0.55,1,7.0
198,0.55,1,7.0
199,0.55,1,7.0
200,0.525,3,9.0
201,0.575,3,9.0
202,0.575,3,9.0
203,0.55,3,9.0
204,0.55,1,11.0
205,0.55,1,11.0
206,0.55,1,11.0
207,0.525,1,11.0
208,0.525,0,10.0
209,0.575,0,10.0
210,0.575,0,10.0
211,0.575,0,10.0
212,0.575,0,10.0
213,0.575,0,10.0
214,0.575,0,10.0
215,0.575,0,10.0
216,0.55,4,10.0
217,0.6,4,10.0
218,0.6,4,10.0
219,0.6,4,10.0
220,0.6,2,10.0
221,0.6,2,10.0
222,0.6,2,10.0
223,0.6,2,10.0
224,0.6,2,12.0
225,0.575,2,12.0
226,0.575,2,12.0
227,0.575,2,12.0
228,0.575,2,11.0
229,0.575,2,11.0
230,0.55,2,11.0
231,0.55,2,11.0
232,0.55,2,11.0
233,0.525,2,11.0
234,0.55,2,11.0
235,0.55,2,11.0
236,0.55,1,11.0
237,0.55,1,11.0
238,0.55,1,11.0
239,0.55,1,11.0
240,0.525,1,10.0
241,0.525,1,10.0
242,0.525,1,10.0
243,0.525,1,10.0
244,0.525,1,9.0
245,0.525,1,9.0
246,0.475,1,9.0
247,0.475,1,9.0
248,0.475,1,8.0
249,0.475,1,8.0
250,0.5,1,8.0
251,0.475,1,8.0
252,0.475,1,8.0
253,0.475,1,8.0
254,0.475,1,8.0
255,0.475,1,8.0
256,0.475,1,7.0
257,0.475,1,7.0
258,0.475,1,7.0
259,0.475,1,7.0
260,0.475,1,6.0
261,0.475,1,6.0
262,0.425,1,6.0
263,0.45,1,6.0
264,0.45,1,6.0
265,0.45,1,6.0
266,0.45,1,6.0
267,0.45,1,6.0
268,0.425,2,6.0
269,0.45,2,6.0
270,0.45,2,6.0
271,0.45,2,6.0
272,0.425,2,4.0
273,0.425,2,4.0
274,0.425,2,4.0
275,0.425,2,4.0
276,0.425,2,4.0
277,0.4,2,4.0
278,0.4,2,4.0
279,0.4,2,4.0
280,0.4,5,4.0
281,0.375,5,4.0
282,0.375,5,4.0
283,0.375,5,4.0
284,0.425,4,3.0
285,0.45,4,3.0
286,0.45,4,3.0
287,0.45,4,3.0
288,0.45,3,6.0
289,0.45,3,6.0
290,0.45,3,6.0
291,0.45,3,6.0
292,0.45,3,6.0
293,0.45,3,6.0
294,0.425,3,6.0
295,0.425,3,6.0
296,0.425,3,6.0
297,0.425,3,6.0
298,0.425,3,6.0
299,0.425,3,6.0
300,0.425,4,6.0
301,0.425,4,6.0
302,0.425,4,6.0
303,0.425,4,6.0
304,0.425,4,6.0
305,0.425,4,6.0
306,0.425,4,6.0
307,0.425,4,6.0
308,0.425,4,6.0
309,0.4,4,6.0
310,0.4,4,6.0
311,0.4,4,6.0
312,0.4,4,6.0
313,0.4,4,6.0
314,0.4,4,6.0
315,0.425,4,6.0
316,0.425,4,6.0
317,0.425,4,6.0
318,0.425,4,6.0
319,0.425,4,6.0
320,0.425,4,5.0
321,0.425,4,5.0
322,0.425,4,5.0
323,0.425,4,5.0
324,0.425,4,5.0
325,0.425,4,5.0
326,0.4,4,5.0
327,0.4,4,5.0
328,0.4,4,5.0
329,0.475,4,5.0
330,0.475,4,5.0
331,0.475,4,5.0
332,0.475,4,4.0
333,0.475,4,4.0
334,0.475,4,4.0
335,0.5,3,4.0
336,0.525,3,4.0
337,0.525,3,4.0
338,0.525,3,4.0
339,0.6,3,4.0
340,0.6,3,4.0
341,0.6,3,4.0
342,0.6,3,4.0
343,0.6,3,4.0
344,0.6,2,5.0
345,0.6,2,5.0
346,0.55,2,5.0
347,0.55,2,5.0
348,0.575,4,5.0
349,0.575,4,5.0
350,0.575,4,5.0
351,0.625,4,5.0
352,0.625,4,5.0
353,0.625,4,5.0
354,0.625,4,5.0
355,0.625,4,5.0
356,0.65,4,5.0
357,0.6,4,5.0
358,0.6,4,5.0
359,0.6,4,5.0
360,0.6,4,5.0
361,0.6,4,5.0
362,0.6,4,5.0
363,0.6,4,5.0
364,0.6,4,5.0
365,0.65,4,5.0
366,0.65,4,5.0
367,0.65,4,5.0
368,0.65,2,5.0
369,0.65,2,5.0
370,0.7,2,5.0
371,0.7,2,5.0
372,0.7,5,5.0
373,0.7,5,5.0
374,0.725,6,5.0
375,0.725,6,5.0
376,0.725,5,6.0
377,0.775,4,6.0
378,0.75,4,6.0
379,0.75,4,6.0
