tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.025,0,0.0
5,0.025,0,0.0
6,0.075,0,0.0
7,0.075,0,0.0
8,0.075,0,0.0
9,0.1,0,0.0
10,0.1,0,0.0
11,0.1,0,0.0
12,0.1,0,0.0
13,0.15,0,0.0
14,0.15,0,1.0
15,0.15,0,1.0
16,0.175,0,1.0
17,0.175,0,1.0
18,0.175,0,1.0
19,0.25,0,1.0
20,0.275,0,1.0
21,0.275,0,1.0
22,0.275,0,1.0
23,0.275,0,1.0
24,0.275,0,1.0
25,0.275,0,1.0
26,0.275,1,1.0
27,0.3,1,1.0
28,0.3,1,1.0
29,0.3,1,1.0
30,0.3,1,1.0
31,0.35,1,1.0
32,0.35,1,2.0
33,0.35,1,2.0
34,0.35,1,2.0
35,0.4,1,2.0
36,0.4,1,4.0
37,0.425,1,5.0
38,0.425,1,5.0
39,0.425,1,5.0
40,0.425,1,5.0
41,0.45,1,5.0
42,0.475,1,7.0
43,0.475,1,7.0
44,0.5,1,7.0
45,0.5,1,7.0
46,0.5,4,7.0
47,0.525,3,8.0
48,0.525,3,8.0
49,0.475,3,8.0
50,0.475,3,8.0
51,0.45,3,6.0
52,0.45,3,6.0
53,0.45,3,5.0
54,0.45,3,5.0
55,0.425,5,5.0
56,0.45,4,5.0
57,0.475,4,6.0
58,0.475,4,6.0
59,0.475,5,6.0
60,0.45,7,6.0
61,0.45,7,6.0
62,0.475,6,5.0
63,0.425,8,6.0
64,0.475,7,6.0
65,0.5,6,5.0
66,0.5,6,6.0
67,0.5,6,6.0
68,0.475,6,6.0
69,0.5,6,6.0
70,0.525,7,6.0
71,0.525,7,7.0
72,0.525,7,7.0
73,0.525,7,7.0
74,0.475,7,7.0
75,0.475,8,7.0
76,0.5,7,7.0
77,0.5,7,7.0
78,0.525,7,6.0
79,0.525,7,7.0
80,0.5,9,7.0
81,0.5,9,7.0
82,0.525,8,8.0
83,0.525,8,9.0
84,0.525,8,8.0
85,0.525,9,8.0
86,0.5,9,8.0
87,0.55,9,8.0
88,0.55,9,8.0
89,0.55,9,8.0
90,0.55,9,8.0
91,0.55,11,8.0
92,0.575,10,8.0
93,0.575,10,8.0
94,0.6,10,7.0
95,0.6,10,7.0
96,0.6,10,7.0
97,0.6,10,7.0
98,0.55,10,7.0
99,0.55,10,7.0
100,0.55,11,6.0
101,0.55,11,6.0
102,0.525,14,6.0
103,0.525,14,6.0
104,0.525,13,6.0
105,0.55,12,6.0
106,0.5,12,7.0
107,0.525,11,7.0
108,0.575,10,5.0
109,0.575,10,5.0
110,0.6,9,6.0
111,0.6,9,6.0
112,0.6,9,6.0
113,0.65,9,6.0
114,0.65,9,6.0
115,0.65,9,6.0
116,0.65,9,6.0
117,0.65,10,6.0
118,0.625,10,6.0
119,0.65,11,5.0
120,0.625,11,6.0
121,0.625,11,5.0
122,0.6,12,5.0
123,0.6,12,5.0
124,0.55,14,6.0
125,0.575,13,6.0
126,0.625,12,7.0
127,0.55,12,7.0
128,0.55,12,7.0
129,0.6,12,7.0
130,0.6,12,7.0
131,0.6,13,7.0
132,0.6,13,7.0
133,0.625,13,7.0
134,0.65,12,7.0
135,0.65,12,7.0
136,0.6,12,7.0
137,0.6,13,7.0
138,0.6,12,7.0
139,0.6,12,9.0
140,0.575,12,9.0
141,0.575,12,8.0
142,0.575,12,8.0
143,0.525,12,8.0
144,0.525,12,8.0
145,0.575,10,7.0
146,0.575,10,7.0
147,0.575,10,7.0
148,0.575,10,7.0
149,0.575,10,7.0
150,0.575,10,7.0
151,0.575,11,7.0
152,0.575,12,7.0
153,0.575,12,7.0
154,0.575,12,7.0
155,0.5,14,7.0
156,0.525,13,7.0
157,0.525,13,7.0
158,0.575,13,7.0
159,0.575,13,9.0
160,0.575,13,9.0
161,0.575,13,9.0
162,0.575,13,9.0
163,0.575,13,9.0
164,0.575,14,9.0
165,0.575,14,9.0
166,0.55,15,9.0
167,0.525,15,9.0
168,0.525,14,8.0
169,0.55,13,8.0
170,0.575,12,8.0
171,0.525,12,9.0
172,0.5,12,9.0
173,0.525,12,7.0
174,0.525,13,8.0
175,0.5,13,8.0
176,0.525,12,8.0
177,0.55,12,8.0
178,0.55,12,8.0
179,0.55,12,8.0
180,0.55,12,8.0
181,0.5,14,8.0
182,0.475,14,8.0
183,0.475,14,7.0
184,0.5,13,7.0
185,0.5,13,7.0
186,0.5,14,7.0
187,0.5,14,7.0
188,0.45,14,7.0
189,0.4,14,7.0
190,0.45,14,7.0
191,0.45,14,7.0
192,0.45,17,7.0
193,0.45,17,7.0
194,0.45,16,7.0
195,0.55,14,6.0
196,0.55,16,5.0
197,0.575,15,5.0
198,0.575,17,5.0
199,0.65,17,6.0
200,0.725,15,5.0
201,0.725,15,6.0
202,0.675,16,6.0
203,0.675,16,4.0
204,0.725,14,5.0
205,0.675,14,5.0
206,0.625,17,5.0
207,0.65,17,5.0
208,0.625,17,5.0
209,0.625,17,5.0
210,0.6,18,4.0
211,0.6,19,4.0
212,0.6,19,5.0
213,0.575,19,5.0
214,0.575,20,5.0
215,0.575,20,5.0
216,0.575,20,5.0
217,0.55,22,5.0
218,0.575,21,5.0
219,0.575,21,5.0
220,0.575,23,5.0
221,0.625,21,5.0
222,0.65,21,5.0
223,0.625,21,5.0
224,0.625,21,5.0
225,0.65,20,5.0
226,0.65,20,5.0
227,0.625,20,5.0
228,0.625,20,5.0
229,0.65,19,4.0
230,0.65,19,5.0
231,0.65,19,5.0
232,0.65,19,5.0
233,0.65,19,5.0
234,0.65,19,5.0
235,0.625,19,5.0
236,0.625,19,4.0
237,0.525,19,4.0
238,0.5,19,5.0
239,0.5,19,5.0
240,0.55,17,5.0
241,0.575,16,5.0
242,0.575,16,5.0
243,0.575,16,5.0
244,0.575,16,5.0
245,0.6,16,5.0
246,0.575,15,6.0
247,0.525,16,6.0
248,0.575,15,6.0
249,0.625,14,8.0
250,0.575,14,8.0
251,0.575,14,8.0
252,0.625,13,8.0
253,0.625,13,8.0
254,0.625,13,8.0
255,0.6,13,8.0
256,0.6,14,8.0
257,0.575,14,7.0
258,0.575,14,7.0
259,0.6,13,8.0
260,0.575,13,8.0
261,0.5,13,8.0
262,0.525,13,8.0
263,0.525,12,8.0
264,0.55,11,7.0
265,0.525,10,8.0
266,0.55,10,9.0
267,0.575,9,10.0
268,0.575,9,10.0
269,0.575,9,10.0
270,0.575,9,10.0
271,0.575,9,10.0
272,0.575,9,10.0
273,0.575,9,10.0
274,0.525,9,10.0
275,0.5,9,10.0
276,0.5,9,9.0
277,0.475,8,9.0
278,0.5,8,10.0
279,0.525,7,11.0
280,0.525,7,11.0
281,0.525,7,11.0
282,0.525,7,11.0
283,0.525,7,11.0
284,0.5,7,11.0
285,0.5,7,11.0
286,0.5,7,11.0
287,0.5,7,11.0
288,0.475,7,11.0
289,0.475,7,11.0
290,0.475,7,11.0
291,0.425,7,11.0
292,0.425,7,11.0
293,0.475,6,11.0
294,0.475,6,11.0
295,0.475,6,11.0
296,0.475,6,11.0
297,0.475,6,11.0
298,0.475,6,11.0
299,0.475,6,11.0
300,0.4,6,11.0
301,0.375,6,11.0
302,0.375,5,11.0
303,0.325,5,11.0
304,0.375,3,9.0
305,0.35,3,11.0
306,0.35,3,10.0
307,0.375,2,10.0
308,0.35,2,10.0
309,0.325,2,10.0
310,0.325,2,10.0
311,0.325,2,9.0
312,0.35,3,9.0
313,0.325,4,9.0
314,0.375,4,9.0
315,0.375,3,10.0
316,0.375,5,8.0
317,0.45,2,8.0
318,0.4,2,10.0
319,0.425,1,9.0
320,0.425,1,10.0
321,0.425,1,10.0
322,0.425,1,10.0
323,0.425,1,10.0
324,0.45,2,10.0
325,0.45,2,10.0
326,0.475,2,10.0
327,0.475,2,11.0
328,0.425,5,10.0
329,0.45,4,10.0
330,0.45,4,10.0
331,0.5,4,10.0
332,0.475,4,10.0
333,0.475,4,10.0
334,0.5,3,9.0
335,0.475,3,9.0
336,0.45,5,9.0
337,0.475,4,9.0
338,0.475,4,9.0
339,0.475,5,9.0
340,0.475,5,9.0
341,0.45,5,9.0
342,0.45,5,8.0
343,0.475,4,8.0
344,0.475,4,8.0
345,0.475,4,8.0
346,0.475,5,8.0
347,0.475,5,8.0
348,0.475,5,8.0
349,0.475,5,8.0
350,0.5,5,8.0
351,0.5,5,8.0
352,0.5,5,8.0
353,0.525,5,8.0
354,0.525,5,9.0
355,0.525,5,9.0
356,0.525,5,9.0
357,0.525,5,7.0
358,0.55,3,8.0
359,0.55,5,8.0
360,0.55,4,8.0
361,0.525,4,8.0
362,0.55,4,8.0
363,0.55,4,8.0
364,0.525,6,8.0
365,0.55,5,8.0
366,0.55,5,8.0
367,0.55,5,8.0
368,0.55,5,8.0
369,0.525,7,8.0
370,0.55,6,8.0
371,0.5,6,8.0
372,0.5,6,8.0
373,0.45,6,6.0
374,0.475,6,5.0
375,0.525,5,5.0
376,0.55,6,5.0
377,0.55,6,6.0
378,0.5,6,6.0
379,0.45,6,6.0
