tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.0,0,0.0
5,0.0,0,0.0
6,0.0,0,0.0
7,0.0,0,0.0
8,0.0,0,0.0
9,0.0,0,0.0
10,0.0,0,0.0
11,0.0,0,0.0
12,0.0,1,0.0
13,0.075,1,0.0
14,0.075,1,0.0
15,0.075,1,0.0
16,0.075,0,0.0
17,0.1,0,0.0
18,0.1,0,0.0
19,0.1,0,0.0
20,0.1,0,0.0
21,0.15,0,0.0
22,0.15,0,0.0
23,0.15,0,0.0
24,0.2,0,0.0
25,0.2,0,0.0
26,0.2,0,0.0
27,0.3,0,0.0
28,0.3,0,1.0
29,0.3,0,1.0
30,0.3,0,1.0
31,0.3,0,1.0
32,0.3,0,3.0
33,0.3,0,3.0
34,0.325,0,3.0
35,0.325,0,3.0
36,0.325,1,3.0
37,0.3,1,3.0
38,0.3,1,3.0
39,0.325,1,3.0
40,0.35,1,3.0
41,0.35,1,3.0
42,0.35,1,3.0
43,0.35,1,3.0
44,0.45,1,4.0
45,0.45,1,4.0
46,0.4,1,4.0
47,0.4,1,4.0
48,0.375,1,6.0
49,0.325,1,6.0
50,0.325,1,6.0
51,0.325,1,6.0
52,0.35,2,4.0
53,0.45,2,4.0
54,0.45,2,4.0
55,0.45,2,4.0
56,0.45,2,7.0
57,0.425,2,7.0
58,0.425,2,7.0
59,0.4,2,7.0
60,0.4,2,7.0
61,0.375,2,7.0
62,0.375,2,7.0
63,0.425,2,7.0
64,0.425,2,7.0
65,0.45,1,7.0
66,0.45,1,7.0
67,0.45,1,7.0
68,0.45,3,9.0
69,0.45,3,9.0
70,0.475,3,9.0
71,0.475,3,9.0
72,0.525,1,7.0
73,0.525,1,7.0
74,0.5,1,7.0
75,0.5,1,7.0
76,0.5,1,8.0
77,0.475,1,8.0
78,0.5,1,8.0
79,0.5,1,8.0
80,0.475,2,9.0
81,0.475,2,9.0
82,0.5,2,9.0
83,0.525,2,9.0
84,0.525,1,9.0
85,0.525,1,9.0
86,0.525,1,9.0
87,0.5,1,9.0
88,0.5,5,8.0
89,0.525,5,8.0
90,0.55,5,8.0
91,0.525,5,8.0
92,0.525,5,10.0
93,0.525,5,10.0
94,0.575,5,10.0
95,0.55,5,10.0
96,0.6,6,9.0
97,0.6,6,9.0
98,0.55,6,9.0
99,0.55,7,9.0
100,0.55,8,9.0
101,0.55,8,9.0
102,0.55,7,9.0
103,0.55,8,9.0
104,0.55,8,7.0
105,0.6,6,7.0
106,0.6,6,7.0
107,0.6,6,7.0
108,0.625,6,9.0
109,0.6,6,9.0
110,0.575,6,9.0
111,0.575,6,9.0
112,0.575,9,10.0
113,0.575,9,10.0
114,0.575,9,10.0
115,0.575,9,10.0
116,0.575,9,9.0
117,0.575,9,9.0
118,0.6,9,9.0
119,0.6,9,9.0
120,0.625,7,10.0
121,0.675,7,10.0
122,0.675,7,10.0
123,0.675,7,10.0
124,0.675,8,9.0
125,0.675,8,9.0
126,0.675,8,9.0
127,0.675,8,9.0
128,0.7,9,8.0
129,0.7,9,8.0
130,0.7,9,8.0
131,0.7,9,8.0
132,0.7,9,8.0
133,0.775,9,8.0
134,0.775,9,8.0
135,0.775,9,8.0
136,0.775,9,8.0
137,0.775,9,8.0
138,0.75,9,8.0
139,0.7,9,8.0
140,0.7,13,8.0
141,0.7,13,8.0
142,0.725,13,8.0
143,0.725,13,8.0
144,0.725,14,8.0
145,0.75,14,8.0
146,0.75,14,8.0
147,0.725,14,8.0
148,0.725,12,8.0
149,0.725,12,8.0
150,0.725,12,8.0
151,0.725,12,8.0
152,0.725,12,10.0
153,0.725,12,10.0
154,0.725,12,10.0
155,0.725,12,10.0
156,0.725,10,9.0
157,0.65,10,9.0
158,0.65,10,9.0
159,0.65,10,9.0
160,0.65,11,10.0
161,0.65,11,10.0
162,0.675,11,10.0
163,0.7,11,10.0
164,0.7,10,10.0
165,0.7,10,10.0
166,0.725,10,10.0
167,0.725,10,10.0
168,0.775,8,10.0
169,0.775,8,10.0
170,0.775,8,10.0
171,0.775,8,10.0
172,0.775,8,10.0
173,0.775,8,10.0
174,0.725,8,10.0
175,0.725,8,10.0
176,0.7,9,10.0
177,0.7,9,10.0
178,0.7,9,10.0
179,0.7,9,10.0
180,0.725,8,9.0
181,0.7,8,9.0
182,0.7,8,9.0
183,0.7,8,9.0
184,0.7,12,9.0
185,0.7,12,9.0
186,0.775,12,9.0
187,0.775,12,9.0
188,0.775,9,10.0
189,0.75,9,10.0
190,0.75,9,10.0
191,0.75,9,10.0
192,0.75,12,10.0
193,0.75,12,10.0
194,0.8,12,10.0
195,0.8,12,10.0
196,0.8,10,10.0
197,0.775,10,10.0
198,0.725,10,10.0
199,0.725,10,10.0
200,0.65,16,10.0
201,0.65,16,10.0
202,0.7,16,10.0
203,0.7,16,10.0
204,0.7,19,8.0
205,0.7,19,8.0
206,0.725,19,8.0
207,0.725,19,8.0
208,0.7,21,4.0
209,0.675,21,4.0
210,0.675,22,4.0
211,0.7,22,4.0
212,0.725,17,9.0
213,0.775,18,9.0
214,0.8,18,9.0
215,0.8,18,9.0
216,0.8,19,9.0
217,0.85,19,9.0
218,0.85,18,9.0
219,0.825,18,9.0
220,0.85,16,10.0
221,0.85,16,10.0
222,0.9,16,10.0
223,0.9,16,10.0
224,0.875,18,12.0
225,0.875,18,12.0
226,0.875,18,12.0
227,0.875,18,12.0
228,0.8,21,11.0
229,0.8,21,11.0
230,0.875,21,11.0
231,0.875,21,11.0
232,0.8,18,12.0
233,0.825,17,12.0
234,0.825,17,12.0
235,0.825,17,12.0
236,0.825,16,11.0
237,0.85,16,11.0
238,0.875,16,11.0
239,0.85,16,11.0
240,0.85,14,11.0
241,0.875,14,11.0
242,0.925,14,11.0
243,0.875,14,11.0
244,0.875,11,8.0
245,0.875,11,8.0
246,0.875,11,8.0
247,0.825,11,8.0
248,0.775,12,10.0
249,0.775,12,10.0
250,0.8,12,10.0
251,0.8,12,10.0
252,0.8,11,8.0
253,0.8,11,8.0
254,0.825,11,8.0
255,0.8,11,8.0
256,0.725,12,9.0
257,0.75,12,9.0
258,0.75,12,9.0
259,0.75,12,9.0
260,0.75,10,9.0
261,0.75,10,9.0
262,0.725,10,9.0
263,0.725,10,9.0
264,0.725,12,9.0
265,0.75,11,9.0
266,0.725,11,9.0
267,0.725,11,9.0
268,0.8,7,11.0
269,0.8,7,11.0
270,0.775,7,11.0
271,0.8,7,11.0
272,0.775,7,11.0
273,0.775,7,11.0
274,0.775,8,11.0
275,0.775,8,11.0
276,0.775,7,12.0
277,0.775,7,12.0
278,0.775,7,12.0
279,0.775,7,12.0
280,0.775,7,10.0
281,0.775,7,10.0
282,0.75,7,10.0
283,0.75,7,10.0
284,0.75,7,11.0
285,0.75,7,11.0
286,0.75,7,11.0
287,0.75,7,11.0
288,0.7,7,11.0
289,0.675,7,11.0
290,0.675,7,11.0
291,0.675,7,11.0
292,0.675,7,11.0
293,0.65,7,11.0
294,0.65,7,11.0
295,0.65,7,11.0
296,0.7,5,11.0
297,0.7,5,11.0
298,0.7,5,11.0
299,0.675,5,11.0
300,0.675,5,11.0
301,0.75,4,11.0
302,0.725,4,11.0
303,0.7,4,11.0
304,0.7,2,10.0
305,0.7,2,10.0
306,0.7,2,10.0
307,0.7,2,10.0
308,0.7,2,11.0
309,0.65,2,11.0
310,0.625,2,11.0
311,0.675,3,11.0
312,0.675,1,9.0
313,0.7,0,9.0
314,0.7,0,9.0
315,0.7,0,9.0
316,0.7,0,9.0
317,0.65,0,9.0
318,0.65,0,9.0
319,0.65,0,9.0
320,0.625,3,9.0
321,0.625,3,9.0
322,0.625,3,9.0
323,0.625,3,9.0
324,0.625,5,8.0
325,0.725,5,8.0
326,0.7,5,8.0
327,0.65,5,8.0
328,0.625,1,8.0
329,0.6,1,8.0
330,0.575,1,8.0
331,0.575,1,8.0
332,0.6,4,8.0
333,0.575,4,8.0
334,0.575,4,8.0
335,0.65,4,8.0
336,0.575,4,8.0
337,0.575,4,8.0
338,0.6,4,8.0
339,0.6,5,8.0
340,0.65,3,7.0
341,0.65,3,7.0
342,0.65,3,7.0
343,0.6,2,7.0
344,0.575,4,7.0
345,0.575,4,7.0
346,0.575,4,7.0
347,0.6,4,7.0
348,0.6,3,7.0
349,0.6,3,7.0
350,0.6,3,7.0
351,0.625,3,7.0
352,0.6,1,7.0
353,0.6,0,7.0
354,0.6,0,7.0
355,0.6,0,7.0
356,0.6,1,7.0
357,0.625,1,7.0
358,0.65,1,7.0
359,0.65,1,7.0
360,0.65,0,7.0
361,0.675,0,7.0
362,0.675,0,7.0
363,0.65,0,7.0
364,0.65,1,8.0
365,0.625,1,8.0
366,0.6,1,8.0
367,0.625,1,8.0
368,0.625,1,8.0
369,0.625,1,8.0
370,0.625,1,8.0
371,0.625,1,8.0
372,0.65,2,8.0
373,0.625,2,8.0
374,0.625,2,8.0
375,0.625,2,8.0
376,0.65,2,8.0
377,0.675,2,8.0
378,0.65,2,8.0
379,0.65,2,8.0
