tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.0,0,0.0
5,0.0,0,0.0
6,0.0,0,0.0
7,0.0,0,0.0
8,0.0,0,0.0
9,0.0,0,0.0
10,0.0,0,0.0
11,0.0,0,0.0
12,0.0,1,0.0
13,0.075,1,0.0
14,0.075,1,0.0
15,0.075,1,0.0
16,0.075,0,0.0
17,0.1,0,0.0
18,0.1,0,0.0
19,0.1,0,0.0
20,0.1,0,0.0
21,0.15,0,0.0
22,0.15,0,0.0
23,0.15,0,0.0
24,0.2,0,0.0
25,0.2,0,0.0
26,0.2,0,0.0
27,0.3,0,0.0
28,0.3,0,1.0
29,0.3,0,1.0
30,0.3,0,1.0
31,0.3,0,1.0
32,0.3,0,3.0
33,0.3,0,3.0
34,0.35,0,3.0
35,0.35,0,3.0
36,0.35,1,3.0
37,0.325,1,3.0
38,0.325,1,3.0
39,0.375,1,3.0
40,0.375,1,4.0
41,0.375,1,4.0
42,0.375,1,4.0
43,0.375,1,4.0
44,0.475,1,5.0
45,0.475,1,5.0
46,0.425,1,5.0
47,0.425,1,5.0
48,0.4,2,7.0
49,0.45,2,7.0
50,0.45,2,7.0
51,0.45,2,7.0
52,0.4,1,7.0
53,0.475,1,7.0
54,0.525,1,7.0
55,0.525,1,7.0
56,0.525,1,8.0
57,0.5,1,8.0
58,0.5,1,8.0
59,0.45,1,8.0
60,0.45,1,8.0
61,0.425,1,8.0
62,0.425,1,8.0
63,0.475,1,8.0
64,0.475,1,8.0
65,0.4,1,8.0
66,0.4,1,8.0
67,0.375,1,8.0
68,0.375,4,8.0
69,0.425,4,8.0
70,0.45,4,8.0
71,0.4,4,8.0
72,0.4,4,6.0
73,0.4,4,6.0
74,0.375,4,6.0
75,0.425,5,6.0
76,0.475,1,5.0
77,0.45,1,5.0
78,0.4,1,5.0
79,0.375,1,5.0
80,0.425,4,7.0
81,0.425,4,7.0
82,0.425,4,7.0
83,0.4,5,7.0
84,0.425,4,5.0
85,0.425,4,5.0
86,0.45,3,5.0
87,0.425,3,5.0
88,0.425,7,7.0
89,0.425,8,7.0
90,0.45,7,7.0
91,0.4,7,7.0
92,0.4,8,8.0
93,0.4,8,8.0
94,0.425,9,8.0
95,0.45,8,8.0
96,0.5,8,5.0
97,0.5,8,5.0
98,0.5,8,5.0
99,0.5,8,5.0
100,0.5,10,7.0
101,0.5,10,7.0
102,0.5,10,7.0
103,0.5,10,7.0
104,0.5,11,7.0
105,0.5,11,7.0
106,0.5,11,7.0
107,0.5,11,7.0
108,0.5,12,7.0
109,0.5,12,7.0
110,0.475,12,7.0
111,0.475,12,7.0
112,0.475,15,7.0
113,0.475,15,7.0
114,0.55,13,7.0
115,0.55,13,7.0
116,0.55,13,7.0
117,0.55,13,7.0
118,0.55,14,7.0
119,0.575,13,7.0
120,0.55,12,7.0
121,0.6,12,7.0
122,0.55,12,7.0
123,0.55,12,7.0
124,0.5,13,7.0
125,0.5,13,7.0
126,0.5,13,7.0
127,0.5,13,7.0
128,0.575,12,4.0
129,0.575,12,4.0
130,0.575,12,4.0
131,0.575,12,4.0
132,0.575,12,7.0
133,0.7,12,7.0
134,0.7,12,7.0
135,0.7,12,7.0
136,0.7,10,8.0
137,0.7,10,8.0
138,0.675,10,8.0
139,0.675,10,8.0
140,0.675,14,8.0
141,0.675,14,8.0
142,0.675,14,8.0
143,0.625,14,8.0
144,0.625,16,9.0
145,0.625,16,9.0
146,0.65,16,9.0
147,0.675,16,9.0
148,0.675,14,8.0
149,0.675,14,8.0
150,0.675,14,8.0
151,0.675,14,8.0
152,0.675,14,7.0
153,0.675,14,7.0
154,0.675,14,7.0
155,0.675,14,7.0
156,0.65,14,7.0
157,0.6,14,7.0
158,0.6,14,7.0
159,0.625,14,7.0
160,0.625,16,7.0
161,0.625,16,7.0
162,0.625,16,7.0
163,0.625,16,7.0
164,0.65,16,7.0
165,0.65,16,7.0
166,0.7,16,7.0
167,0.7,16,7.0
168,0.675,16,7.0
169,0.65,16,7.0
170,0.65,16,7.0
171,0.625,16,7.0
172,0.65,16,7.0
173,0.65,16,7.0
174,0.6,16,7.0
175,0.6,16,7.0
176,0.6,17,7.0
177,0.6,18,7.0
178,0.6,18,7.0
179,0.6,18,7.0
180,0.6,17,7.0
181,0.6,16,7.0
182,0.6,16,7.0
183,0.6,16,7.0
184,0.6,20,7.0
185,0.6,20,7.0
186,0.625,20,7.0
187,0.625,20,7.0
188,0.625,20,7.0
189,0.625,20,7.0
190,0.7,20,7.0
191,0.7,20,7.0
192,0.7,19,7.0
193,0.7,19,7.0
194,0.725,19,7.0
195,0.725,19,7.0
196,0.725,19,7.0
197,0.725,19,7.0
198,0.7,19,7.0
199,0.7,19,7.0
200,0.65,24,8.0
201,0.65,25,8.0
202,0.65,25,8.0
203,0.65,25,8.0
204,0.625,29,9.0
205,0.7,29,9.0
206,0.725,29,9.0
207,0.675,29,9.0
208,0.7,30,6.0
209,0.675,30,6.0
210,0.675,30,6.0
211,0.7,30,6.0
212,0.725,30,11.0
213,0.7,30,11.0
214,0.675,30,11.0
215,0.7,30,11.0
216,0.7,31,9.0
217,0.7,31,9.0
218,0.725,31,9.0
219,0.75,32,9.0
220,0.775,31,7.0
221,0.75,31,7.0
222,0.725,31,7.0
223,0.7,31,7.0
224,0.7,34,10.0
225,0.725,34,10.0
226,0.725,33,10.0
227,0.725,33,10.0
228,0.725,35,9.0
229,0.75,34,9.0
230,0.75,34,9.0
231,0.775,35,9.0
232,0.775,35,9.0
233,0.775,35,9.0
234,0.75,35,9.0
235,0.7,35,9.0
236,0.7,34,9.0
237,0.65,34,9.0
238,0.6,34,9.0
239,0.6,34,9.0
240,0.575,34,9.0
241,0.575,34,9.0
242,0.55,34,9.0
243,0.6,34,9.0
244,0.7,28,6.0
245,0.7,28,6.0
246,0.725,28,6.0
247,0.675,28,6.0
248,0.675,28,9.0
249,0.675,28,9.0
250,0.675,28,9.0
251,0.675,28,9.0
252,0.675,29,9.0
253,0.675,29,9.0
254,0.75,29,9.0
255,0.775,29,9.0
256,0.775,28,9.0
257,0.775,28,9.0
258,0.775,27,9.0
259,0.775,27,9.0
260,0.8,26,10.0
261,0.8,26,10.0
262,0.75,26,10.0
263,0.75,26,10.0
264,0.775,26,10.0
265,0.775,26,10.0
266,0.775,26,10.0
267,0.75,26,10.0
268,0.75,26,8.0
269,0.75,26,8.0
270,0.725,26,8.0
271,0.725,26,8.0
272,0.675,27,8.0
273,0.7,27,8.0
274,0.7,27,8.0
275,0.725,27,8.0
276,0.725,25,8.0
277,0.725,25,8.0
278,0.725,25,8.0
279,0.725,25,8.0
280,0.7,25,7.0
281,0.75,25,7.0
282,0.75,25,7.0
283,0.75,25,7.0
284,0.7,23,8.0
285,0.7,23,8.0
286,0.7,23,8.0
287,0.7,23,8.0
288,0.7,23,8.0
289,0.65,23,8.0
290,0.65,23,8.0
291,0.625,23,8.0
292,0.625,22,8.0
293,0.675,22,8.0
294,0.65,22,8.0
295,0.65,22,8.0
296,0.65,22,5.0
297,0.7,22,5.0
298,0.7,22,5.0
299,0.7,22,5.0
300,0.675,20,6.0
301,0.625,20,6.0
302,0.625,20,6.0
303,0.625,20,6.0
304,0.6,20,6.0
305,0.6,20,6.0
306,0.55,20,6.0
307,0.55,20,6.0
308,0.55,20,5.0
309,0.6,20,5.0
310,0.6,20,5.0
311,0.6,20,5.0
312,0.6,19,6.0
313,0.6,20,6.0
314,0.6,20,6.0
315,0.6,20,6.0
316,0.6,19,4.0
317,0.575,19,4.0
318,0.575,18,4.0
319,0.55,18,4.0
320,0.55,19,4.0
321,0.6,19,4.0
322,0.6,19,4.0
323,0.6,19,4.0
324,0.65,19,4.0
325,0.65,19,4.0
326,0.7,19,4.0
327,0.7,19,4.0
328,0.7,17,5.0
329,0.65,17,5.0
330,0.65,17,5.0
331,0.65,17,5.0
332,0.625,20,5.0
333,0.625,20,5.0
334,0.625,20,5.0
335,0.65,20,5.0
336,0.625,20,6.0
337,0.6,20,6.0
338,0.65,20,6.0
339,0.6,20,6.0
340,0.6,21,7.0
341,0.6,21,7.0
342,0.6,21,7.0
343,0.525,21,7.0
344,0.55,21,7.0
345,0.575,21,7.0
346,0.6,21,7.0
347,0.6,21,7.0
348,0.6,21,5.0
349,0.575,21,5.0
350,0.575,22,5.0
351,0.575,22,5.0
352,0.6,20,5.0
353,0.6,20,5.0
354,0.575,20,5.0
355,0.575,20,5.0
356,0.575,21,5.0
357,0.55,21,5.0
358,0.575,21,5.0
359,0.575,21,5.0
360,0.575,20,5.0
361,0.575,20,5.0
362,0.575,20,5.0
363,0.55,20,5.0
364,0.6,20,5.0
365,0.575,20,5.0
366,0.575,20,5.0
367,0.6,20,5.0
368,0.6,20,6.0
369,0.6,19,6.0
370,0.6,19,6.0
371,0.6,20,6.0
372,0.5,21,6.0
373,0.525,21,6.0
374,0.525,21,6.0
375,0.525,21,6.0
376,0.525,21,6.0
377,0.575,21,6.0
378,0.55,21,6.0
379,0.55,21,6.0
