tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.0,0,0.0
5,0.0,0,0.0
6,0.0,0,0.0
7,0.0,0,0.0
8,0.0,0,0.0
9,0.0,0,0.0
10,0.0,0,0.0
11,0.0,0,0.0
12,0.0,0,0.0
13,0.0,0,0.0
14,0.0,0,0.0
15,0.0,0,0.0
16,0.0,0,0.0
17,0.0,0,0.0
18,0.0,0,0.0
19,0.0,0,0.0
20,0.025,0,0.0
21,0.025,0,0.0
22,0.075,0,0.0
23,0.075,0,0.0
24,0.075,0,0.0
25,0.075,0,0.0
26,0.075,0,0.0
27,0.15,0,0.0
28,0.15,0,0.0
29,0.15,0,0.0
30,0.15,0,0.0
31,0.15,0,0.0
32,0.15,0,0.0
33,0.15,0,0.0
34,0.15,0,0.0
35,0.15,0,0.0
36,0.125,0,0.0
37,0.125,0,0.0
38,0.125,0,0.0
39,0.125,0,0.0
40,0.125,0,0.0
41,0.125,0,0.0
42,0.175,0,0.0
43,0.175,0,0.0
44,0.175,0,0.0
45,0.175,0,0.0
46,0.175,0,0.0
47,0.175,0,0.0
48,0.175,0,0.0
49,0.175,0,0.0
50,0.225,0,0.0
51,0.225,0,0.0
52,0.225,0,0.0
53,0.225,0,0.0
54,0.225,0,0.0
55,0.225,0,0.0
56,0.225,0,2.0
57,0.225,0,2.0
58,0.225,0,2.0
59,0.25,0,2.0
60,0.25,0,2.0
61,0.25,0,2.0
62,0.25,0,2.0
63,0.25,0,2.0
64,0.25,0,2.0
65,0.25,0,2.0
66,0.25,0,2.0
67,0.275,0,2.0
68,0.275,0,2.0
69,0.275,0,2.0
70,0.275,0,2.0
71,0.35,0,2.0
72,0.35,0,2.0
73,0.35,0,2.0
74,0.35,0,2.0
75,0.35,0,2.0
76,0.375,0,2.0
77,0.375,0,2.0
78,0.375,0,2.0
79,0.375,0,2.0
80,0.375,0,2.0
81,0.375,0,2.0
82,0.4,0,2.0
83,0.4,0,2.0
84,0.4,0,2.0
85,0.4,0,2.0
86,0.35,0,2.0
87,0.35,0,2.0
88,0.35,0,3.0
89,0.325,0,3.0
90,0.325,0,3.0
91,0.325,0,3.0
92,0.4,0,3.0
93,0.4,0,3.0
94,0.4,0,3.0
95,0.45,1,3.0
96,0.45,1,4.0
97,0.45,2,4.0
98,0.475,1,4.0
99,0.45,1,4.0
100,0.45,1,5.0
101,0.45,1,5.0
102,0.45,1,5.0
103,0.45,1,5.0
104,0.45,1,5.0
105,0.45,1,5.0
106,0.425,1,5.0
107,0.475,1,5.0
108,0.475,1,5.0
109,0.475,1,5.0
110,0.475,1,5.0
111,0.475,1,5.0
112,0.475,1,6.0
113,0.475,1,6.0
114,0.475,1,6.0
115,0.475,1,6.0
116,0.475,1,6.0
117,0.475,1,6.0
118,0.475,1,6.0
119,0.45,1,6.0
120,0.45,3,6.0
121,0.45,3,6.0
122,0.45,3,6.0
123,0.45,3,6.0
124,0.5,2,7.0
125,0.425,2,7.0
126,0.425,2,7.0
127,0.425,2,7.0
128,0.425,2,7.0
129,0.425,2,7.0
130,0.425,2,7.0
131,0.425,2,7.0
132,0.425,2,4.0
133,0.5,1,4.0
134,0.5,1,4.0
135,0.5,1,4.0
136,0.5,0,4.0
137,0.5,0,4.0
138,0.5,0,4.0
139,0.5,0,4.0
140,0.5,0,5.0
141,0.5,0,5.0
142,0.5,0,5.0
143,0.5,0,5.0
144,0.5,0,5.0
145,0.5,0,5.0
146,0.5,0,5.0
147,0.5,0,5.0
148,0.5,0,5.0
149,0.5,0,5.0
150,0.525,1,5.0
151,0.525,1,5.0
152,0.525,1,5.0
153,0.525,1,5.0
154,0.5,1,5.0
155,0.5,1,5.0
156,0.475,3,8.0
157,0.5,2,8.0
158,0.475,2,8.0
159,0.475,2,8.0
160,0.475,2,8.0
161,0.475,2,8.0
162,0.45,2,8.0
163,0.45,3,8.0
164,0.45,2,9.0
165,0.45,2,9.0
166,0.45,2,9.0
167,0.45,2,9.0
168,0.475,2,7.0
169,0.475,2,7.0
170,0.475,2,7.0
171,0.475,2,7.0
172,0.475,2,7.0
173,0.475,2,7.0
174,0.475,2,7.0
175,0.525,2,7.0
176,0.525,2,9.0
177,0.525,2,9.0
178,0.525,2,9.0
179,0.525,2,9.0
180,0.525,2,9.0
181,0.525,2,9.0
182,0.55,2,9.0
183,0.55,2,9.0
184,0.55,3,9.0
185,0.55,3,9.0
186,0.55,3,9.0
187,0.55,3,9.0
188,0.575,3,9.0
189,0.575,3,9.0
190,0.575,2,9.0
191,0.575,2,9.0
192,0.575,4,9.0
193,0.575,4,9.0
194,0.6,4,9.0
195,0.6,4,9.0
196,0.6,4,8.0
197,0.6,4,8.0
198,0.625,4,8.0
199,0.625,4,8.0
200,0.575,3,8.0
201,0.575,3,8.0
202,0.575,3,8.0
203,0.55,3,8.0
204,0.55,5,8.0
205,0.525,5,8.0
206,0.525,5,8.0
207,0.55,5,8.0
208,0.55,4,6.0
209,0.55,4,6.0
210,0.55,4,6.0
211,0.55,4,6.0
212,0.55,4,6.0
213,0.55,4,6.0
214,0.6,4,6.0
215,0.6,4,6.0
216,0.6,5,6.0
217,0.6,5,6.0
218,0.6,5,6.0
219,0.6,5,6.0
220,0.6,5,7.0
221,0.6,5,7.0
222,0.6,5,7.0
223,0.6,5,7.0
224,0.575,5,7.0
225,0.55,5,7.0
226,0.55,5,7.0
227,0.5,5,7.0
228,0.525,6,7.0
229,0.525,6,7.0
230,0.5,6,7.0
231,0.525,6,7.0
232,0.55,5,6.0
233,0.55,5,6.0
234,0.55,5,6.0
235,0.55,5,6.0
236,0.55,5,6.0
237,0.525,5,6.0
238,0.525,5,6.0
239,0.525,5,6.0
240,0.525,5,6.0
241,0.525,5,6.0
242,0.525,5,6.0
243,0.525,5,6.0
244,0.5,6,6.0
245,0.5,6,6.0
246,0.5,6,6.0
247,0.5,6,6.0
248,0.5,6,6.0
249,0.5,6,6.0
250,0.5,6,6.0
251,0.5,6,6.0
252,0.425,6,6.0
253,0.45,6,6.0
254,0.45,6,6.0
255,0.525,6,6.0
256,0.525,5,5.0
257,0.525,5,5.0
258,0.525,5,5.0
259,0.475,5,5.0
260,0.5,4,7.0
261,0.5,4,7.0
262,0.5,4,7.0
263,0.5,4,7.0
264,0.5,5,7.0
265,0.5,5,7.0
266,0.5,5,7.0
267,0.5,5,7.0
268,0.5,6,6.0
269,0.5,6,6.0
270,0.5,6,6.0
271,0.5,6,6.0
272,0.5,6,6.0
273,0.5,6,6.0
274,0.5,6,6.0
275,0.5,6,6.0
276,0.5,6,6.0
277,0.475,6,6.0
278,0.475,6,6.0
279,0.475,6,6.0
280,0.475,6,6.0
281,0.475,6,6.0
282,0.475,6,6.0
283,0.475,6,6.0
284,0.475,6,6.0
285,0.525,7,6.0
286,0.55,6,6.0
287,0.55,6,6.0
288,0.55,6,8.0
289,0.55,6,8.0
290,0.55,6,8.0
291,0.55,6,8.0
292,0.55,6,8.0
293,0.55,6,8.0
294,0.55,6,8.0
295,0.55,6,8.0
296,0.55,6,8.0
297,0.55,6,8.0
298,0.55,6,8.0
299,0.55,6,8.0
300,0.55,7,8.0
301,0.55,7,8.0
302,0.55,7,8.0
303,0.55,7,8.0
304,0.55,7,8.0
305,0.55,7,8.0
306,0.55,7,8.0
307,0.55,7,8.0
308,0.525,7,8.0
309,0.525,7,8.0
310,0.525,7,8.0
311,0.525,7,8.0
312,0.525,7,8.0
313,0.525,7,8.0
314,0.475,7,8.0
315,0.475,7,8.0
316,0.475,7,8.0
317,0.5,7,8.0
318,0.5,7,8.0
319,0.5,7,8.0
320,0.5,6,8.0
321,0.5,6,8.0
322,0.5,6,8.0
323,0.55,6,8.0
324,0.55,4,7.0
325,0.55,4,7.0
326,0.55,4,7.0
327,0.55,4,7.0
328,0.5,4,9.0
329,0.5,4,9.0
330,0.55,4,9.0
331,0.55,4,9.0
332,0.55,4,9.0
333,0.55,4,9.0
334,0.55,4,9.0
335,0.55,4,9.0
336,0.625,2,10.0
337,0.625,2,10.0
338,0.575,2,10.0
339,0.575,2,10.0
340,0.6,3,10.0
341,0.6,3,10.0
342,0.575,3,10.0
343,0.575,3,10.0
344,0.6,2,10.0
345,0.6,2,10.0
346,0.6,2,10.0
347,0.6,2,10.0
348,0.6,2,10.0
349,0.6,2,10.0
350,0.6,2,10.0
351,0.6,2,10.0
352,0.6,2,10.0
353,0.6,2,10.0
354,0.6,2,10.0
355,0.6,2,10.0
356,0.6,2,10.0
357,0.6,2,10.0
358,0.55,2,10.0
359,0.55,2,10.0
360,0.55,4,10.0
361,0.55,4,10.0
362,0.6,4,10.0
363,0.6,4,10.0
364,0.6,3,10.0
365,0.6,3,10.0
366,0.6,3,10.0
367,0.575,3,10.0
368,0.55,6,9.0
369,0.55,6,9.0
370,0.6,6,9.0
371,0.6,6,9.0
372,0.625,6,11.0
373,0.625,6,11.0
374,0.625,6,11.0
375,0.625,6,11.0
376,0.675,6,10.0
377,0.675,6,10.0
378,0.625,6,10.0
379,0.625,6,10.0
