tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.0,0,0.0
5,0.0,0,0.0
6,0.0,0,0.0
7,0.0,0,0.0
8,0.0,0,0.0
9,0.0,0,0.0
10,0.0,0,0.0
11,0.0,0,0.0
12,0.0,0,0.0
13,0.0,0,0.0
14,0.0,0,0.0
15,0.0,0,0.0
16,0.0,0,0.0
17,0.0,0,0.0
18,0.0,0,0.0
19,0.0,0,0.0
20,0.025,0,0.0
21,0.025,0,0.0
22,0.075,0,0.0
23,0.075,0,0.0
24,0.075,0,0.0
25,0.075,0,0.0
26,0.175,0,0.0
27,0.175,0,0.0
28,0.175,0,0.0
29,0.175,0,0.0
30,0.175,0,0.0
31,0.175,0,0.0
32,0.175,0,0.0
33,0.175,0,0.0
34,0.175,0,0.0
35,0.175,0,0.0
36,0.175,0,0.0
37,0.175,0,0.0
38,0.175,0,0.0
39,0.175,0,0.0
40,0.175,0,0.0
41,0.225,0,0.0
42,0.225,0,0.0
43,0.225,0,0.0
44,0.225,0,0.0
45,0.225,0,0.0
46,0.225,0,0.0
47,0.225,0,0.0
48,0.225,0,0.0
49,0.275,0,0.0
50,0.275,0,0.0
51,0.275,0,0.0
52,0.275,0,0.0
53,0.275,0,0.0
54,0.275,0,0.0
55,0.275,0,0.0
56,0.275,0,2.0
57,0.275,0,2.0
58,0.275,0,2.0
59,0.3,0,2.0
60,0.3,0,2.0
61,0.3,0,2.0
62,0.3,0,2.0
63,0.3,0,2.0
64,0.3,0,2.0
65,0.3,0,2.0
66,0.3,0,2.0
67,0.325,0,2.0
68,0.325,0,2.0
69,0.325,0,2.0
70,0.325,0,2.0
71,0.4,0,2.0
72,0.4,0,2.0
73,0.4,0,2.0
74,0.4,0,2.0
75,0.425,0,2.0
76,0.425,0,2.0
77,0.425,0,2.0
78,0.425,0,2.0
79,0.425,0,2.0
80,0.425,0,2.0
81,0.425,0,2.0
82,0.45,0,2.0
83,0.45,0,2.0
84,0.45,0,2.0
85,0.4,0,2.0
86,0.4,0,2.0
87,0.4,0,2.0
88,0.4,0,3.0
89,0.375,0,3.0
90,0.375,0,3.0
91,0.375,0,3.0
92,0.45,0,3.0
93,0.45,0,3.0
94,0.45,0,3.0
95,0.525,0,3.0
96,0.525,0,4.0
97,0.5,0,4.0
98,0.475,0,4.0
99,0.475,0,4.0
100,0.475,0,4.0
101,0.475,0,4.0
102,0.45,0,4.0
103,0.475,0,4.0
104,0.475,0,4.0
105,0.45,0,4.0
106,0.45,0,4.0
107,0.475,0,4.0
108,0.475,0,4.0
109,0.475,0,4.0
110,0.475,0,4.0
111,0.475,0,4.0
112,0.475,0,4.0
113,0.475,0,4.0
114,0.475,0,4.0
115,0.475,0,4.0
116,0.475,0,4.0
117,0.475,0,4.0
118,0.475,0,4.0
119,0.475,0,4.0
120,0.475,2,4.0
121,0.475,2,4.0
122,0.475,2,4.0
123,0.525,2,4.0
124,0.525,1,6.0
125,0.45,1,6.0
126,0.45,1,6.0
127,0.45,1,6.0
128,0.45,1,6.0
129,0.45,1,6.0
130,0.45,1,6.0
131,0.45,1,6.0
132,0.425,1,3.0
133,0.475,1,3.0
134,0.475,1,3.0
135,0.475,1,3.0
136,0.475,0,3.0
137,0.475,0,3.0
138,0.475,0,3.0
139,0.475,0,3.0
140,0.475,0,4.0
141,0.475,0,4.0
142,0.475,0,4.0
143,0.475,0,4.0
144,0.475,0,4.0
145,0.475,0,4.0
146,0.475,0,4.0
147,0.475,0,4.0
148,0.475,0,4.0
149,0.525,0,4.0
150,0.55,0,4.0
151,0.55,0,4.0
152,0.55,0,4.0
153,0.525,0,4.0
154,0.525,0,4.0
155,0.5,0,4.0
156,0.5,2,5.0
157,0.475,2,5.0
158,0.5,2,5.0
159,0.5,2,5.0
160,0.475,2,5.0
161,0.475,3,5.0
162,0.475,2,5.0
163,0.475,2,5.0
164,0.475,1,5.0
165,0.475,1,5.0
166,0.475,1,5.0
167,0.475,1,5.0
168,0.5,1,6.0
169,0.5,1,6.0
170,0.5,1,6.0
171,0.5,1,6.0
172,0.5,1,6.0
173,0.5,1,6.0
174,0.55,1,6.0
175,0.5,1,6.0
176,0.5,1,7.0
177,0.5,1,7.0
178,0.5,1,7.0
179,0.5,1,7.0
180,0.5,1,7.0
181,0.5,1,7.0
182,0.525,1,7.0
183,0.525,1,7.0
184,0.575,0,6.0
185,0.575,0,6.0
186,0.575,0,6.0
187,0.6,0,6.0
188,0.6,0,6.0
189,0.575,0,6.0
190,0.575,0,6.0
191,0.575,0,6.0
192,0.6,1,7.0
193,0.6,1,7.0
194,0.6,1,7.0
195,0.6,1,7.0
196,0.6,1,7.0
197,0.6,1,7.0
198,0.6,1,7.0
199,0.6,1,7.0
200,0.6,1,8.0
201,0.6,1,8.0
202,0.625,1,8.0
203,0.625,1,8.0
204,0.625,1,7.0
205,0.6,1,7.0
206,0.6,1,7.0
207,0.6,1,7.0
208,0.6,1,8.0
209,0.6,1,8.0
210,0.6,1,8.0
211,0.6,1,8.0
212,0.6,1,8.0
213,0.575,1,8.0
214,0.625,1,8.0
215,0.625,1,8.0
216,0.625,2,8.0
217,0.625,2,8.0
218,0.625,2,8.0
219,0.575,2,8.0
220,0.575,2,9.0
221,0.6,2,9.0
222,0.6,2,9.0
223,0.575,2,9.0
224,0.575,1,9.0
225,0.6,1,9.0
226,0.6,1,9.0
227,0.625,1,9.0
228,0.625,0,8.0
229,0.625,0,8.0
230,0.6,0,8.0
231,0.625,0,8.0
232,0.625,0,8.0
233,0.625,0,8.0
234,0.625,0,8.0
235,0.625,0,8.0
236,0.625,0,8.0
237,0.6,0,8.0
238,0.6,0,8.0
239,0.6,0,8.0
240,0.575,0,8.0
241,0.6,0,8.0
242,0.6,0,8.0
243,0.6,0,8.0
244,0.6,0,8.0
245,0.6,0,8.0
246,0.6,0,8.0
247,0.575,0,8.0
248,0.575,0,6.0
249,0.575,0,6.0
250,0.575,0,6.0
251,0.575,0,6.0
252,0.525,0,6.0
253,0.525,0,6.0
254,0.55,0,6.0
255,0.6,0,6.0
256,0.6,0,6.0
257,0.6,0,6.0
258,0.55,0,6.0
259,0.55,0,6.0
260,0.55,0,8.0
261,0.575,0,8.0
262,0.575,0,8.0
263,0.575,0,8.0
264,0.575,0,8.0
265,0.575,0,8.0
266,0.6,0,8.0
267,0.6,0,8.0
268,0.6,0,8.0
269,0.6,0,8.0
270,0.6,0,8.0
271,0.6,0,8.0
272,0.575,0,9.0
273,0.575,0,9.0
274,0.575,0,9.0
275,0.575,0,9.0
276,0.575,0,9.0
277,0.575,0,9.0
278,0.575,0,9.0
279,0.575,0,9.0
280,0.575,0,9.0
281,0.575,0,9.0
282,0.575,0,9.0
283,0.575,0,9.0
284,0.575,0,9.0
285,0.65,0,9.0
286,0.65,0,9.0
287,0.65,0,9.0
288,0.65,0,9.0
289,0.65,0,9.0
290,0.65,0,9.0
291,0.65,0,9.0
292,0.65,0,11.0
293,0.65,0,11.0
294,0.65,0,11.0
295,0.65,0,11.0
296,0.65,0,11.0
297,0.65,0,11.0
298,0.675,0,11.0
299,0.65,0,11.0
300,0.65,0,11.0
301,0.65,0,11.0
302,0.65,0,11.0
303,0.65,0,11.0
304,0.65,0,11.0
305,0.625,0,11.0
306,0.625,0,11.0
307,0.625,0,11.0
308,0.625,0,11.0
309,0.625,0,11.0
310,0.625,0,11.0
311,0.625,0,11.0
312,0.625,0,11.0
313,0.625,0,11.0
314,0.575,0,11.0
315,0.575,0,11.0
316,0.575,0,11.0
317,0.575,0,11.0
318,0.575,0,11.0
319,0.575,0,11.0
320,0.575,0,11.0
321,0.575,0,11.0
322,0.575,0,11.0
323,0.575,0,11.0
324,0.575,0,9.0
325,0.575,0,9.0
326,0.575,0,9.0
327,0.525,0,9.0
328,0.525,0,9.0
329,0.575,1,9.0
330,0.575,1,9.0
331,0.575,1,9.0
332,0.575,1,9.0
333,0.575,1,9.0
334,0.575,1,9.0
335,0.575,1,9.0
336,0.575,1,7.0
337,0.6,1,7.0
338,0.575,1,7.0
339,0.575,1,7.0
340,0.55,1,7.0
341,0.55,1,7.0
342,0.55,1,7.0
343,0.55,1,7.0
344,0.55,1,8.0
345,0.55,1,8.0
346,0.55,1,8.0
347,0.55,1,8.0
348,0.55,1,6.0
349,0.55,1,6.0
350,0.55,1,6.0
351,0.55,1,6.0
352,0.55,1,6.0
353,0.55,1,6.0
354,0.55,1,6.0
355,0.55,1,6.0
356,0.55,1,6.0
357,0.55,1,6.0
358,0.6,1,6.0
359,0.6,1,6.0
360,0.6,1,6.0
361,0.6,1,6.0
362,0.6,1,6.0
363,0.6,1,6.0
364,0.6,1,6.0
365,0.6,1,6.0
366,0.6,1,6.0
367,0.625,1,6.0
368,0.625,1,6.0
369,0.625,1,6.0
370,0.675,1,6.0
371,0.675,1,6.0
372,0.675,1,7.0
373,0.675,1,7.0
374,0.675,1,7.0
375,0.675,1,7.0
376,0.725,1,5.0
377,0.725,0,5.0
378,0.725,0,5.0
379,0.675,0,5.0
